global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value,dictionary_entries,dictionary_min_entries,q_values
1434,63,15.0,15,0.9818486666666667,4.49970006942749,11.19725227355957,1434,689,"[2.973057746887207, 2.5847091674804688]"
1448,64,14.0,14,0.9816713333333333,5.062131404876709,11.79598617553711,1448,694,"[1.9043605327606201, 3.0828006267547607]"
1459,65,11.0,11,0.981532,4.507410049438477,12.0936279296875,1459,698,"[2.0332858562469482, 2.9400622844696045]"
1472,66,13.0,13,0.9813673333333334,3.914294958114624,12.072559356689453,1472,701,"[1.7811695337295532, 2.830409526824951]"
1503,67,31.0,31,0.9809746666666667,3.9973340034484863,12.318252563476562,1503,717,"[2.9661076068878174, 2.2828779220581055]"
1525,68,22.0,22,0.980696,3.5549821853637695,11.436808586120605,1525,726,"[1.7957947254180908, 2.279066562652588]"
1582,69,57.0,57,0.979974,3.4509072303771973,12.711336135864258,1582,756,"[2.4363927841186523, 2.1239171028137207]"
1593,70,11.0,11,0.9798346666666666,3.790423631668091,11.652180671691895,1593,763,"[2.5711560249328613, 2.761894941329956]"
1611,71,18.0,18,0.9796066666666666,4.1566643714904785,10.986963272094727,1611,773,"[2.122281551361084, 2.157320261001587]"
1631,72,20.0,20,0.9793533333333333,4.286394119262695,12.045494079589844,1631,783,"[2.2995638847351074, 2.700348138809204]"
1650,73,19.0,19,0.9791126666666666,4.796439170837402,12.221403121948242,1650,795,"[2.4838733673095703, 2.087932586669922]"
1666,74,16.0,16,0.97891,4.27192497253418,11.57712173461914,1666,804,"[1.811276912689209, 1.5763471126556396]"
1681,75,15.0,15,0.97872,4.485204696655273,11.406129837036133,1681,814,"[2.0045955181121826, 1.7190138101577759]"
1690,76,9.0,9,0.978606,4.886520862579346,11.663744926452637,1690,822,"[2.5278072357177734, 2.3720462322235107]"
1725,77,35.0,35,0.9781626666666666,4.1487884521484375,12.397306442260742,1725,837,"[1.9187661409378052, 2.0325570106506348]"
1750,78,25.0,25,0.977846,3.9926748275756836,11.848197937011719,1750,850,"[2.067516803741455, 3.166019916534424]"
1766,79,16.0,16,0.9776433333333333,4.570819854736328,12.237173080444336,1766,856,"[2.5761666297912598, 2.1498148441314697]"
1789,80,23.0,23,0.977352,3.80268931388855,12.141797065734863,1789,864,"[1.5726181268692017, 1.8697152137756348]"
1798,81,9.0,9,0.977238,3.5504684448242188,11.436737060546875,1798,865,"[1.8976569175720215, 1.663071632385254]"
1820,82,22.0,22,0.9769593333333333,4.409730911254883,12.61455249786377,1820,877,"[1.7220830917358398, 1.471578598022461]"
1869,83,49.0,49,0.9763386666666667,3.444038152694702,12.344922065734863,1869,901,"[1.6402661800384521, 1.5597567558288574]"
1896,84,27.0,27,0.9759966666666666,3.8643059730529785,11.309599876403809,1896,912,"[2.078467607498169, 1.8213142156600952]"
1926,85,30.0,30,0.9756166666666667,3.0672106742858887,12.06197738647461,1926,923,"[1.5454195737838745, 1.4148343801498413]"
1945,86,19.0,19,0.975376,4.279812335968018,11.799814224243164,1945,934,"[1.6681327819824219, 1.4514248371124268]"
1963,87,18.0,18,0.975148,3.8068113327026367,11.710105895996094,1963,942,"[1.9817767143249512, 1.6860038042068481]"
1973,88,10.0,10,0.9750213333333333,4.463438987731934,12.184244155883789,1973,944,"[1.8055870532989502, 1.4275003671646118]"
1992,89,19.0,19,0.9747806666666666,3.5753822326660156,12.385257720947266,1992,953,"[1.6707422733306885, 1.4385865926742554]"
2056,90,64.0,64,0.97397,3.9123761653900146,11.772811889648438,2056,989,"[1.8107032775878906, 1.8771177530288696]"
2087,91,31.0,31,0.9735773333333333,4.88005256652832,11.490930557250977,2087,1004,"[1.9655512571334839, 2.167041301727295]"
2115,92,28.0,28,0.9732226666666667,4.679478645324707,13.441306114196777,2115,1018,"[1.9586021900177002, 1.9632201194763184]"
2164,93,49.0,49,0.972602,4.696364402770996,12.638826370239258,2164,1043,"[2.04545259475708, 2.5792903900146484]"
2203,94,39.0,39,0.972108,4.933995246887207,12.602672576904297,2203,1062,"[1.4868555068969727, 1.287035346031189]"
2215,95,12.0,12,0.971956,3.3134427070617676,12.698732376098633,2215,1071,"[2.1992406845092773, 2.1871955394744873]"
2245,96,30.0,30,0.971576,4.328146457672119,12.706500053405762,2245,1088,"[2.1717963218688965, 1.4716453552246094]"
2279,97,34.0,34,0.9711453333333333,4.913421154022217,13.908848762512207,2279,1108,"[2.353039026260376, 2.0889806747436523]"
2307,98,28.0,28,0.9707906666666667,5.139852523803711,12.833582878112793,2307,1119,"[1.7485194206237793, 1.6907477378845215]"
2317,99,10.0,10,0.970664,4.49775505065918,12.850992202758789,2317,1122,"[2.302459239959717, 2.392099380493164]"
2351,100,34.0,34,0.9702333333333333,4.756686210632324,12.152846336364746,2351,1137,"[2.077263355255127, 1.9080965518951416]"
