global_step,loss,mean_q_value,epsilon,dictionary_entries
1000,0.4716007709503174,-48.595298767089844,0.9873333333333333,1000
1001,9.77196979522705,-48.23991394042969,0.9873206666666666,1000
1002,9.162935256958008,-49.060279846191406,0.987308,1000
1003,9.60066032409668,-47.165679931640625,0.9872953333333333,1000
1004,8.91977310180664,-47.77045440673828,0.9872826666666666,1000
1005,9.076444625854492,-48.865928649902344,0.98727,1000
1006,8.167484283447266,-48.00011444091797,0.9872573333333333,1000
1007,8.285229682922363,-48.7866325378418,0.9872446666666667,1000
1008,9.11166763305664,-49.0445442199707,0.987232,1000
1009,8.039738655090332,-47.9686164855957,0.9872193333333333,1000
1010,8.423383712768555,-48.423484802246094,0.9872066666666667,1000
1011,7.74832820892334,-48.151023864746094,0.987194,1000
1012,6.919212341308594,-47.98646545410156,0.9871813333333334,1000
1013,8.600706100463867,-47.52564239501953,0.9871686666666667,1000
1014,7.77553129196167,-48.16538619995117,0.987156,1000
1015,6.463795185089111,-48.598609924316406,0.9871433333333334,1000
1016,7.877781391143799,-47.35298538208008,0.9871306666666667,1000
1017,8.392800331115723,-47.55670928955078,0.987118,1000
1018,7.325139045715332,-48.536888122558594,0.9871053333333333,1000
1019,6.760201930999756,-47.24874496459961,0.9870926666666666,1000
1020,7.900637626647949,-47.95034408569336,0.98708,1000
1021,6.358327865600586,-48.747528076171875,0.9870673333333333,1000
1022,6.43328857421875,-48.113529205322266,0.9870546666666666,1000
1023,7.551512718200684,-48.444923400878906,0.987042,1000
1024,6.5173420906066895,-49.34321594238281,0.9870293333333333,1000
1025,6.734579086303711,-48.466636657714844,0.9870166666666667,1000
1026,6.471540451049805,-48.50971603393555,0.987004,1000
1027,6.548192501068115,-48.7232780456543,0.9869913333333333,1000
1028,6.236032485961914,-47.744476318359375,0.9869786666666667,1000
1029,5.650638580322266,-47.49601745605469,0.986966,1000
1030,6.023653984069824,-49.05998992919922,0.9869533333333333,1000
1031,6.028404235839844,-48.69865036010742,0.9869406666666667,1000
1032,5.913482666015625,-48.40708923339844,0.986928,1000
1033,5.0335283279418945,-48.4312629699707,0.9869153333333334,1000
1034,5.88819694519043,-48.39053726196289,0.9869026666666667,1000
1035,5.309051513671875,-48.2047233581543,0.98689,1000
1036,5.872986316680908,-47.704261779785156,0.9868773333333334,1000
1037,5.042546272277832,-47.32215118408203,0.9868646666666666,1000
1038,5.234342575073242,-48.911094665527344,0.986852,1000
1039,5.741703033447266,-48.619140625,0.9868393333333333,1000
1040,5.683265686035156,-46.9976806640625,0.9868266666666666,1000
1041,5.148911476135254,-47.78893280029297,0.986814,1000
1042,4.951497554779053,-48.5201416015625,0.9868013333333333,1000
1043,5.123331069946289,-48.20379638671875,0.9867886666666666,1000
1044,5.085314750671387,-47.97677993774414,0.986776,1000
1045,5.358312606811523,-47.11442565917969,0.9867633333333333,1000
1046,5.546234130859375,-46.72456359863281,0.9867506666666667,1000
1047,5.923336029052734,-46.80658721923828,0.986738,1000
1048,4.781689167022705,-48.11558532714844,0.9867253333333333,1000
1049,4.659886360168457,-48.49049377441406,0.9867126666666667,1000
1050,5.318044185638428,-48.04252624511719,0.9867,1000
1051,4.914883613586426,-47.179256439208984,0.9866873333333334,1000
