global_step,loss,mean_q_value,epsilon,dictionary_entries
40,0.0003077587462030351,0.14948488771915436,0.703125,40
41,0.07873057574033737,0.08584997057914734,0.6957031250000001,40
42,0.06891585886478424,0.09512826055288315,0.68828125,40
43,0.08163133263587952,0.07698408514261246,0.680859375,40
44,0.130239799618721,0.13501892983913422,0.6734375,40
45,0.08810935914516449,0.11548084020614624,0.666015625,40
46,0.14341697096824646,0.0,0.6585937500000001,46
47,0.11380647867918015,0.0,0.651171875,46
48,0.12108371406793594,0.02891770377755165,0.64375,46
49,0.08605796843767166,0.023162785917520523,0.636328125,46
50,0.09080542623996735,0.05442454665899277,0.62890625,46
51,0.08343490958213806,0.08021858334541321,0.6214843750000001,46
52,0.07765264809131622,0.041474562138319016,0.6140625,52
53,0.11541382223367691,0.058812495321035385,0.606640625,52
54,0.11294542253017426,0.05018220469355583,0.59921875,52
55,0.09137432277202606,0.06779389083385468,0.591796875,52
56,0.08751630783081055,0.0843774676322937,0.5843750000000001,52
57,0.127096489071846,0.050783753395080566,0.576953125,52
58,0.11042721569538116,0.06658750772476196,0.56953125,52
59,0.03726642206311226,0.04942145198583603,0.562109375,52
60,0.12455812841653824,0.04160032421350479,0.5546875,52
61,0.05531468242406845,0.0657675564289093,0.5472656250000001,52
62,0.08281555771827698,0.08258934319019318,0.53984375,52
63,0.12484655529260635,0.03315114974975586,0.532421875,52
64,0.05237996578216553,0.057709358632564545,0.525,52
65,0.08452726155519485,0.08254122734069824,0.517578125,52
66,0.08320151269435883,0.08294035494327545,0.5101562500000001,52
67,0.08032987266778946,0.06613189727067947,0.502734375,52
68,0.07568078488111496,0.04603525996208191,0.49531250000000004,52
69,0.11411215364933014,0.02220190316438675,0.487890625,52
70,0.05741412937641144,0.0368274487555027,0.48046875,52
71,0.06285982578992844,0.015156406909227371,0.473046875,52
72,0.13227035105228424,0.048998817801475525,0.46562500000000007,52
73,0.06859112530946732,0.06354627758264542,0.45820312500000004,52
74,0.08830557763576508,0.055429380387067795,0.45078125,52
75,0.08907202631235123,0.06783035397529602,0.443359375,52
76,0.07655196636915207,0.030588187277317047,0.4359375,52
77,0.06296608597040176,0.015475254505872726,0.42851562500000007,52
78,0.1090264767408371,0.009555906057357788,0.42109375000000004,52
79,0.07742716372013092,0.02758215367794037,0.413671875,52
80,0.3457562029361725,0.18813200294971466,0.40625,80
81,0.28193533420562744,0.15169593691825867,0.398828125,80
82,0.13391873240470886,0.415647029876709,0.39140625000000007,80
83,0.16439995169639587,0.3198019564151764,0.38398437500000004,80
84,0.2362530529499054,0.2423725426197052,0.3765625,80
85,0.14577969908714294,0.2559307813644409,0.369140625,80
86,0.327553927898407,0.3645053803920746,0.36171875,86
87,0.20912739634513855,0.5586923956871033,0.35429687500000007,86
88,0.2015048712491989,0.5636482834815979,0.34687500000000004,86
89,0.12636321783065796,0.47775691747665405,0.339453125,86
90,0.2525974214076996,0.3278546929359436,0.33203125,86
91,0.10494894534349442,0.3142995536327362,0.324609375,86
92,0.29921987652778625,0.08265604078769684,0.31718750000000007,92
93,0.21639898419380188,0.09910498559474945,0.30976562500000004,92
94,0.18394286930561066,0.1770818680524826,0.30234375,92
95,0.1708112508058548,0.13370774686336517,0.294921875,92
96,0.05187441408634186,0.27141982316970825,0.2875000000000001,92
97,0.21711961925029755,0.3830820322036743,0.28007812500000007,92
98,0.26372644305229187,0.15174010396003723,0.27265625000000004,98
