global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value,dictionary_entries,dictionary_min_entries,q_values
66,1,-189.96201019186577,66,0.9991766666666667,,,66,13,"[0.0, 0.0, 0.0, 0.0]"
180,2,-291.5387046713623,114,0.9977326666666667,,,180,38,"[-95.41825103759766, -106.38633728027344, -78.87701416015625, -98.15247344970703]"
268,3,-251.20613468062055,88,0.996618,,,268,60,"[-118.5975341796875, -125.52301025390625, -115.17957305908203, -116.81280517578125]"
358,4,-121.82488615350577,90,0.995478,,,358,82,"[-140.50375366210938, -145.2291259765625, -133.0489501953125, -146.16265869140625]"
492,5,-460.79921359829245,134,0.9937806666666666,,,492,109,"[-99.09977722167969, -115.16978454589844, -105.58893585205078, -97.44426727294922]"
618,6,-94.49807339393365,126,0.9921846666666667,,,618,140,"[-122.22240447998047, -118.39815521240234, -118.05076599121094, -120.0833740234375]"
710,7,-285.6285648985496,92,0.9910193333333334,,,710,163,"[-110.9105224609375, -116.2942886352539, -111.8023452758789, -113.16221618652344]"
785,8,-197.32145591358275,75,0.9900693333333334,,,785,183,"[-110.73789978027344, -114.47904968261719, -107.49251556396484, -109.45004272460938]"
853,9,-115.99846770907601,68,0.989208,,,853,198,"[-55.185420989990234, -61.383201599121094, -65.69239807128906, -61.68269348144531]"
941,10,-381.22703580207093,88,0.9880933333333334,,,941,218,"[-113.30274200439453, -115.84152221679688, -109.71424102783203, -109.27617645263672]"
1066,11,-121.02486412139842,125,0.98651,,,1066,247,"[-81.23197174072266, -81.5389633178711, -85.24248504638672, -82.58231353759766]"
1140,12,-70.40545640748994,74,0.9855726666666667,6.904273986816406,-112.98698425292969,1140,265,"[-81.26885223388672, -71.30575561523438, -74.59196472167969, -75.63028717041016]"
1206,13,-265.0336944389986,66,0.9847366666666667,6.145831108093262,-115.93870544433594,1206,278,"[-104.75308227539062, -110.09583282470703, -102.38568115234375, -106.8946762084961]"
1305,14,-363.29145179071776,99,0.9834826666666666,5.811516284942627,-119.63450622558594,1305,305,"[-113.32455444335938, -118.61317443847656, -117.05892944335938, -114.74272918701172]"
1402,15,-131.86461165534132,97,0.982254,7.309607982635498,-112.21662139892578,1402,326,"[-81.49180603027344, -85.172119140625, -82.76126861572266, -84.14073181152344]"
1542,16,-59.56657223279706,140,0.9804806666666667,5.827754974365234,-106.23387908935547,1542,352,"[-62.901397705078125, -62.54404067993164, -66.8980712890625, -64.04363250732422]"
1644,17,-352.63969067241703,102,0.9791886666666667,7.034875869750977,-99.91559600830078,1644,383,"[-117.82422637939453, -115.18624877929688, -123.52779388427734, -115.525390625]"
1745,18,-388.6984482626326,101,0.9779093333333333,7.6932597160339355,-103.8056411743164,1745,408,"[-120.4862060546875, -127.52894592285156, -124.91582489013672, -112.31785583496094]"
1837,19,-419.24695869693886,92,0.9767440000000001,8.164061546325684,-110.69902038574219,1837,422,"[-173.80975341796875, -168.26046752929688, -173.1011962890625, -157.3311309814453]"
1931,20,-100.64363324821,94,0.9755533333333334,9.414807319641113,-108.59284973144531,1931,439,"[-83.53614807128906, -84.68956756591797, -90.004638671875, -89.25004577636719]"
1998,21,-66.07224907664616,67,0.9747046666666667,9.520395278930664,-110.98788452148438,1998,455,"[-81.99767303466797, -79.71015167236328, -85.7132797241211, -77.21004486083984]"
2070,22,-122.28024180849735,72,0.9737926666666666,6.837957382202148,-109.95272064208984,2070,477,"[-90.23968505859375, -95.6499252319336, -98.60700988769531, -95.23562622070312]"
2154,23,-91.98086028738429,84,0.9727286666666667,7.929276466369629,-102.99376678466797,2154,497,"[-86.86602783203125, -87.61847686767578, -88.23342895507812, -91.66758728027344]"
2230,24,-141.25645223851484,76,0.971766,8.946428298950195,-107.46675109863281,2230,515,"[-85.49602508544922, -97.27256774902344, -87.24113464355469, -90.55299377441406]"
2286,25,-122.81021272898046,56,0.9710566666666667,7.869778156280518,-112.19027709960938,2286,532,"[-123.88394927978516, -149.2365264892578, -143.96218872070312, -141.62765502929688]"
2405,26,-193.14222963669476,119,0.9695493333333334,8.063798904418945,-114.5694351196289,2405,557,"[-117.34032440185547, -152.88267517089844, -139.9794158935547, -144.72036743164062]"
2489,27,-393.00068729390324,84,0.9684853333333333,8.88914966583252,-103.90403747558594,2489,576,"[-159.73501586914062, -137.49703979492188, -148.76031494140625, -141.8536834716797]"
2608,28,-188.7770961593468,119,0.966978,10.139694213867188,-111.82037353515625,2608,604,"[-133.8887481689453, -133.0794677734375, -137.73785400390625, -144.79478454589844]"
2674,29,-227.03347254840796,66,0.9661420000000001,9.267210960388184,-109.69503784179688,2674,619,"[-125.94557189941406, -155.2266387939453, -126.51592254638672, -145.56637573242188]"
2789,30,-172.93713337303706,115,0.9646853333333333,8.966523170471191,-109.0098876953125,2789,660,"[-91.7669448852539, -93.80006408691406, -96.79257202148438, -96.16535949707031]"
2865,31,-207.77738301376752,76,0.9637226666666666,10.176445007324219,-110.45953369140625,2865,678,"[-158.47438049316406, -113.52459716796875, -144.87132263183594, -91.07096862792969]"
2945,32,33.73192451782302,80,0.9627093333333333,10.64200210571289,-111.23778533935547,2945,697,"[-76.05130767822266, -66.5135269165039, -76.47522735595703, -61.558536529541016]"
3052,33,-144.56038410675717,107,0.961354,12.679323196411133,-99.4134521484375,3052,722,"[-61.835540771484375, -2.7107129096984863, -32.114280700683594, -29.402517318725586]"
3133,34,-88.2275080161867,81,0.960328,12.088018417358398,-91.742431640625,3133,744,"[-92.235107421875, -92.45916748046875, -89.69122314453125, -92.83695220947266]"
3195,35,-122.93283148447918,62,0.9595426666666667,11.635660171508789,-98.89297485351562,3195,764,"[-48.870750427246094, 14.871386528015137, -81.76531982421875, -57.24736404418945]"
3261,36,-109.27243106023522,66,0.9587066666666667,12.103059768676758,-98.17046356201172,3261,778,"[-84.36991882324219, -46.65904998779297, -92.21123504638672, -72.72030639648438]"
3386,37,-260.26956827357515,125,0.9571233333333333,13.27383041381836,-101.87125396728516,3386,811,"[-128.68344116210938, -134.1690216064453, -129.61184692382812, -136.16629028320312]"
3453,38,-83.76585460008259,67,0.9562746666666667,14.0697021484375,-100.33050537109375,3453,829,"[-81.60140991210938, -80.42076110839844, -81.54652404785156, -86.10538482666016]"
3556,39,-224.27260430324412,103,0.95497,9.73173713684082,-94.33635711669922,3556,856,"[-121.89702606201172, -64.61129760742188, -108.84587097167969, -74.96641540527344]"
3634,40,-105.80948947538259,78,0.953982,11.200614929199219,-89.52323913574219,3634,867,"[-88.5146713256836, -88.52359008789062, -93.6013412475586, -92.93050384521484]"
3695,41,-87.97876326624588,61,0.9532093333333334,13.189011573791504,-96.23092651367188,3695,883,"[-79.04981231689453, -8.139827728271484, -78.84551239013672, -85.91108703613281]"
3773,42,-199.57816756979395,78,0.9522213333333334,12.61681842803955,-104.69099426269531,3773,907,"[-130.47360229492188, -120.9716796875, -121.26382446289062, -107.45828247070312]"
3875,43,-217.46360271341695,102,0.9509293333333333,9.259976387023926,-92.65362548828125,3875,937,"[-78.09497833251953, -44.89305877685547, -83.85059356689453, -75.63732147216797]"
3947,44,-200.57250204207196,72,0.9500173333333334,12.602313041687012,-101.18922424316406,3947,958,"[-87.97748565673828, -101.331298828125, -92.24502563476562, -88.3674545288086]"
4046,45,-263.384079888108,99,0.9487633333333333,11.632210731506348,-99.88774108886719,4046,990,"[-138.3524169921875, -118.84888458251953, -175.78244018554688, -130.3798828125]"
4141,46,-137.28807056390463,95,0.94756,12.176332473754883,-101.57614135742188,4141,1015,"[-89.05538177490234, -89.81654357910156, -84.03602600097656, -93.95567321777344]"
4206,47,27.603162386237727,65,0.9467366666666667,10.996898651123047,-94.44970703125,4206,1031,"[-75.18342590332031, -73.08586883544922, -70.13348388671875, -71.42749786376953]"
4308,48,-42.73751272405386,102,0.9454446666666667,11.638107299804688,-98.52827453613281,4308,1055,"[-77.37020111083984, -74.58927917480469, -62.322967529296875, -92.19632720947266]"
4390,49,-98.20736061946448,82,0.944406,16.334083557128906,-100.08885955810547,4390,1078,"[-83.28606414794922, -80.23089599609375, -93.73654174804688, -96.09972381591797]"
4503,50,-95.46531086393676,113,0.9429746666666666,12.113104820251465,-95.82752990722656,4503,1105,"[-88.8634033203125, -89.34097290039062, -96.14436340332031, -94.48324584960938]"
4571,51,-106.88470052152148,68,0.9421133333333334,11.887611389160156,-93.56727600097656,4571,1123,"[-84.6361312866211, -74.24523162841797, -97.67303466796875, -90.95067596435547]"
4671,52,-254.33438524845099,100,0.9408466666666666,12.568977355957031,-94.70651245117188,4671,1146,"[-129.4231719970703, -128.00106811523438, -139.1634063720703, -144.66476440429688]"
4743,53,-99.80416368501272,72,0.9399346666666667,10.942267417907715,-82.79088592529297,4743,1170,"[-87.47543334960938, -76.5225830078125, -93.90966033935547, -89.21112060546875]"
4839,54,-196.70349596202368,96,0.9387186666666667,13.51561164855957,-85.7099838256836,4839,1192,"[-89.9531021118164, -126.55552673339844, -81.53562927246094, -141.31509399414062]"
4919,55,-126.13681401509304,80,0.9377053333333334,11.500919342041016,-93.8268051147461,4919,1211,"[-89.5833740234375, -85.82373046875, -91.71177673339844, -92.45569610595703]"
5012,56,-350.50999545128184,93,0.9365273333333334,12.850309371948242,-85.70279693603516,5012,1240,"[-121.53083801269531, -125.5353775024414, -142.89321899414062, -135.56512451171875]"
5089,57,-125.53456169247599,77,0.9355519999999999,12.551339149475098,-93.79285430908203,5089,1254,"[-75.4307632446289, -34.868194580078125, -54.10731887817383, -26.980716705322266]"
5178,58,-426.59255144942233,89,0.9344246666666667,12.224245071411133,-92.66902160644531,5178,1275,"[-146.35372924804688, -117.56967163085938, -136.63327026367188, -125.70999145507812]"
5250,59,-324.63001302986805,72,0.9335126666666667,11.916058540344238,-102.23274230957031,5250,1299,"[-146.5071258544922, -135.51034545898438, -143.14642333984375, -128.88259887695312]"
5340,60,-381.1141926423176,90,0.9323726666666666,11.485269546508789,-105.0530014038086,5340,1323,"[-126.77889251708984, -126.71728515625, -143.1627197265625, -118.3267822265625]"
5459,61,-192.66853129803224,119,0.9308653333333333,13.213664054870605,-99.00443267822266,5459,1350,"[-86.1403579711914, -82.79534149169922, -107.1297836303711, -88.60275268554688]"
5544,62,-96.2768736277875,85,0.9297886666666667,14.028481483459473,-103.4651107788086,5544,1370,"[-93.23255920410156, -62.55901336669922, -99.65259552001953, -85.26644897460938]"
5656,63,17.344626371141473,112,0.92837,13.495349884033203,-101.21237182617188,5656,1400,"[-78.65775299072266, -71.00094604492188, -72.98468017578125, -78.23554229736328]"
5737,64,-165.8486878032658,81,0.927344,11.739286422729492,-103.16976165771484,5737,1419,"[-91.63710021972656, -83.69086456298828, -106.07400512695312, -88.58009338378906]"
5800,65,-62.866412865434945,63,0.926546,14.551192283630371,-95.61907196044922,5800,1434,"[-81.50421142578125, -81.06957244873047, -85.69520568847656, -91.82984161376953]"
5887,66,-119.21389455067305,87,0.925444,12.152566909790039,-92.86135864257812,5887,1458,"[-52.16718292236328, -2.9583334922790527, -63.796302795410156, -64.19464111328125]"
5989,67,-119.8640003212475,102,0.924152,14.159625053405762,-91.82284545898438,5989,1480,"[-95.98552703857422, -83.2518539428711, -95.07366943359375, -93.09061431884766]"
6097,68,-232.22071235052186,108,0.922784,12.90273380279541,-89.37748718261719,6097,1502,"[-140.7991485595703, -114.73101806640625, -136.251220703125, -114.7199478149414]"
6195,69,-134.15290521635058,98,0.9215426666666666,11.827836036682129,-100.50407409667969,6195,1529,"[-68.54513549804688, -54.029415130615234, -83.03764343261719, -81.58329772949219]"
6288,70,-279.3184824164325,93,0.9203646666666667,14.23257064819336,-96.73419952392578,6288,1559,"[-101.04867553710938, -132.14938354492188, -133.66346740722656, -105.59469604492188]"
6352,71,-102.71139723400684,64,0.919554,13.736991882324219,-97.35322570800781,6352,1574,"[-92.77371215820312, -76.58573913574219, -92.72136688232422, -91.48332214355469]"
6459,72,-51.7210911151404,107,0.9181986666666666,13.388526916503906,-92.61804962158203,6459,1595,"[-71.83514404296875, -80.7500991821289, -60.890071868896484, -72.28667449951172]"
6546,73,-301.5008399732636,87,0.9170966666666667,15.533795356750488,-88.05821228027344,6546,1614,"[-123.14485168457031, -133.3629150390625, -96.11978149414062, -133.39682006835938]"
6650,74,-170.17909892161435,104,0.9157793333333333,13.841144561767578,-90.3912582397461,6650,1640,"[-88.72740173339844, -56.77222442626953, -95.09402465820312, -93.58843994140625]"
6783,75,-96.20255370296995,133,0.9140946666666667,13.094318389892578,-97.64376831054688,6783,1675,"[-89.35174560546875, -83.09492492675781, -96.27550506591797, -95.30833435058594]"
6850,76,-182.17115530981027,67,0.913246,13.3452730178833,-89.84941101074219,6850,1688,"[-92.9732437133789, -80.08671569824219, -106.38817596435547, -91.4300765991211]"
