global_step,loss,mean_q_value,epsilon,dictionary_entries
1066,1.7348440885543823,-111.35228729248047,0.9864973333333333,1066
1067,14.708130836486816,-113.90902709960938,0.9864846666666667,1066
1068,14.40532112121582,-107.9688720703125,0.986472,1066
1069,11.545083999633789,-115.13370513916016,0.9864593333333334,1066
1070,12.093740463256836,-113.71409606933594,0.9864466666666667,1066
1071,12.54062271118164,-119.4327163696289,0.986434,1066
1072,11.317885398864746,-112.58665466308594,0.9864213333333334,1066
1073,13.558412551879883,-114.46772003173828,0.9864086666666667,1066
1074,10.378629684448242,-110.765869140625,0.986396,1066
1075,12.040602684020996,-116.3794174194336,0.9863833333333333,1066
1076,8.819037437438965,-108.0737075805664,0.9863706666666666,1066
1077,9.249518394470215,-108.75227355957031,0.986358,1066
1078,9.785560607910156,-117.41996765136719,0.9863453333333333,1066
1079,8.959017753601074,-108.6435546875,0.9863326666666666,1066
1080,9.162753105163574,-111.6653060913086,0.98632,1066
1081,9.40745735168457,-113.4767074584961,0.9863073333333333,1066
1082,9.512253761291504,-112.07023620605469,0.9862946666666667,1066
1083,9.154223442077637,-115.3440933227539,0.986282,1066
1084,9.098913192749023,-113.65611267089844,0.9862693333333333,1066
1085,8.031832695007324,-110.25006103515625,0.9862566666666667,1066
1086,9.181405067443848,-109.3987808227539,0.986244,1066
1087,9.561188697814941,-117.6636962890625,0.9862313333333333,1066
1088,9.590754508972168,-115.1367416381836,0.9862186666666667,1066
1089,8.106795310974121,-109.17731475830078,0.986206,1066
1090,9.852792739868164,-109.39335632324219,0.9861933333333334,1066
1091,8.98300552368164,-118.71199798583984,0.9861806666666667,1066
1092,8.993377685546875,-110.48197937011719,0.986168,1066
1093,7.422291278839111,-112.39608764648438,0.9861553333333334,1066
1094,9.13992977142334,-112.71560668945312,0.9861426666666666,1066
1095,7.429907321929932,-107.30410766601562,0.98613,1066
1096,7.3587141036987305,-117.5380630493164,0.9861173333333333,1066
1097,9.684453964233398,-114.00582885742188,0.9861046666666666,1066
1098,8.834465980529785,-117.6267318725586,0.986092,1066
1099,7.756404876708984,-111.687255859375,0.9860793333333333,1066
1100,8.789957046508789,-111.16252136230469,0.9860666666666666,1066
1101,7.372691631317139,-113.26907348632812,0.986054,1066
1102,8.27285385131836,-114.16957092285156,0.9860413333333333,1066
1103,5.959325313568115,-107.92582702636719,0.9860286666666667,1066
1104,7.130672454833984,-112.00544738769531,0.986016,1066
1105,6.711482048034668,-113.26605224609375,0.9860033333333333,1066
1106,9.235428810119629,-112.92669677734375,0.9859906666666667,1066
1107,7.276632785797119,-117.0337905883789,0.985978,1066
1108,6.966838836669922,-112.77497863769531,0.9859653333333334,1066
1109,7.408382892608643,-108.1672134399414,0.9859526666666667,1066
1110,8.781902313232422,-117.54643249511719,0.98594,1066
1111,6.44481086730957,-112.63160705566406,0.9859273333333334,1066
1112,6.426436424255371,-112.45600891113281,0.9859146666666667,1066
1113,8.080789566040039,-119.14903259277344,0.9859020000000001,1066
1114,8.134891510009766,-115.54515075683594,0.9858893333333333,1066
1115,7.88280725479126,-113.93627166748047,0.9858766666666666,1066
1116,6.085043430328369,-115.66813659667969,0.985864,1066
1117,6.907644271850586,-114.38650512695312,0.9858513333333333,1066
