global_step,episode,episode_return,episode_length,update,learning_rate,policy_loss,value_loss,entropy,approx_kl
1062,1,-20.0,1062,0,0.0003,,,,
1945,2,-21.0,883,0,0.0003,,,,
2807,3,-20.0,862,1,0.0002987712,-0.007040478989074473,0.07126293716137297,1.7814901635050773,0.01074648074572906
3653,4,-21.0,846,1,0.0002987712,-0.007040478989074473,0.07126293716137297,1.7814901635050773,0.01074648074572906
4539,5,-21.0,886,2,0.0002975424,-0.001613546346925432,0.05956708374433219,1.7777981139719485,0.006633233805769123
5405,6,-21.0,866,2,0.0002975424,-0.001613546346925432,0.05956708374433219,1.7777981139719485,0.006633233805769123
6286,7,-21.0,881,3,0.00029631359999999997,-0.0033921526395715774,0.05119468581397087,1.7559405006468296,0.008152818807866424
7386,8,-20.0,1100,3,0.00029631359999999997,-0.0033921526395715774,0.05119468581397087,1.7559405006468296,0.008152818807866424
8223,9,-20.0,837,4,0.0002950848,-0.006849049311131239,0.04957295983913355,1.7706012584269046,0.012306895444635303
9071,10,-21.0,848,4,0.0002950848,-0.006849049311131239,0.04957295983913355,1.7706012584269046,0.012306895444635303
9857,11,-21.0,786,4,0.0002950848,-0.006849049311131239,0.04957295983913355,1.7706012584269046,0.012306895444635303
10743,12,-20.0,886,5,0.00029385599999999995,-0.0065182933132746255,0.0415519192814827,1.7863174233585597,0.0103862299118191
11685,13,-21.0,942,5,0.00029385599999999995,-0.0065182933132746255,0.0415519192814827,1.7863174233585597,0.0103862299118191
12623,14,-20.0,938,6,0.00029262719999999996,-0.0035965563649369868,0.04081229462753981,1.7739764984697104,0.0067949878866784275
13683,15,-20.0,1060,6,0.00029262719999999996,-0.0035965563649369868,0.04081229462753981,1.7739764984697104,0.0067949878866784275
14813,16,-20.0,1130,7,0.0002913984,-0.005328599497443065,0.03330565676442347,1.7851651072502137,0.00938516881724354
15828,17,-19.0,1015,7,0.0002913984,-0.005328599497443065,0.03330565676442347,1.7851651072502137,0.00938516881724354
16723,18,-20.0,895,8,0.0002901696,-0.0044334698024613315,0.03872885050950572,1.784215696528554,0.008274294197326526
17612,19,-20.0,889,8,0.0002901696,-0.0044334698024613315,0.03872885050950572,1.784215696528554,0.008274294197326526
18577,20,-21.0,965,9,0.00028894079999999996,-0.0026316827090340665,0.023890218988526613,1.7872963029891253,0.008688791200984269
19534,21,-20.0,957,9,0.00028894079999999996,-0.0026316827090340665,0.023890218988526613,1.7872963029891253,0.008688791200984269
20352,22,-21.0,818,9,0.00028894079999999996,-0.0026316827090340665,0.023890218988526613,1.7872963029891253,0.008688791200984269
21310,23,-20.0,958,10,0.00028771199999999997,-0.005084973711927887,0.022299097428913228,1.7642114251852035,0.009678165492368862
22100,24,-21.0,790,10,0.00028771199999999997,-0.005084973711927887,0.022299097428913228,1.7642114251852035,0.009678165492368862
