global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
2000,4,2000,268.9029235839844,-0.03133099898695946,-0.020344875752925873,268.93426513671875,,,,False,1.0986123085021973,1.0986123085021973,1.0,1.0,1.0,0.0,-1.0,-16.275400161743164,-0.01851871982216835,-16.275400161743164,nnknn_target_value_model,0,0,0,0,0,0,2000,0,1500,0,0,-500.0,0,4,nnknn,0,nnknn,500,"[0, 0, 0]",,,
4000,4,2000,186.13893127441406,-0.031071657314896584,-0.020085534080863,186.1699981689453,,,,False,1.0986123085021973,1.0986123085021973,1.0,1.0,1.0,0.0,-1.0,-13.541205406188965,-0.01828264258801937,-30.311458587646484,nnknn_target_value_model,0,0,0,0,0,0,2000,73,1927,0,0,-500.0,0,4,nnknn,0,nnknn,500,"[0, 0, 0]",,,
5853,4,1853,181.7596435546875,-0.032548971474170685,-0.02156285010278225,181.7921905517578,181.53228759765625,-0.07806718349456787,-18.245136260986328,True,1.0986123085021973,1.0986123085021973,1.0,1.0,1.0,0.0,-0.9994603395462036,-13.17374324798584,-0.019627351313829422,-31.413585662841797,nnknn_target_value_model,0,0,14,0,0,14,1853,407,1446,0,0,-463.0,1,4,nnknn,14,nnknn,500,"[2, 7, 5]",0.0,0.0,0.0
7853,4,2000,136.458251953125,-0.009078164584934711,-0.0023990559857338667,136.4673309326172,,,,False,0.6679108738899231,1.0986123085021973,1.0,1.0,1.0,0.0,-1.0,-11.512981414794922,-0.0021837125532329082,-41.23873519897461,nnknn_target_value_model,0,0,2,0,0,2,2000,66,1934,0,0,-500.0,0,4,nnknn,16,nnknn,500,"[2, 9, 5]",-0.000499992398545146,-6.206121179275215e-05,0.0004999916418455541
9732,4,1879,133.83734130859375,-0.03315749764442444,-0.027556946501135826,133.87049865722656,133.5801544189453,-0.06146228313446045,-32.208126068115234,True,0.5600553154945374,1.0986123085021973,1.0,1.0,1.0,2.1614248169044004e-07,-0.9994678497314453,-10.958277702331543,-0.02508341521024704,-43.156333923339844,nnknn_target_value_model,0,0,26,0,0,26,1879,185,1694,0,0,-469.5,1,4,nnknn,41,nnknn,500,"[10, 16, 15]",-0.0009999729227274656,-2.4198248866014183e-05,0.0009999829344451427
11452,4,1720,122.42507934570312,-0.030061861500144005,-0.02108641155064106,122.45513916015625,,,,False,0.8975450396537781,1.0790071487426758,0.6646024584770203,0.6373850107192993,0.6918200254440308,2.690323981369147e-07,-0.9988372325897217,-9.634750366210938,-0.020879918709397316,-46.922489166259766,nnknn_target_value_model,0,0,55,0,0,55,1720,118,1602,0,0,-429.5,2,4,nnknn,94,nnknn,500,"[21, 37, 36]",-0.0014996418030932546,2.6682584575610235e-05,0.0014999686973169446
13452,4,2000,108.96804809570312,-0.013051326386630535,-0.003918590024113655,108.9811019897461,,,,False,0.9132736325263977,1.0734484195709229,0.6057025194168091,0.5740516781806946,0.6373533606529236,1.7977389177303849e-07,-1.0,-10.041779518127441,3.52859501617786e-08,-50.57301712036133,nnknn_target_value_model,0,0,14,0,0,14,2000,78,1922,0,0,-500.0,0,4,nnknn,103,nnknn,500,"[23, 36, 44]",-0.0009998995810747147,0.00010191743058385327,0.001999959582462907
15345,4,1893,127.04505157470703,-0.04160942882299423,-0.03204107657074928,127.08666229248047,126.9037857055664,-0.1678304672241211,-40.68879318237305,True,0.9568352699279785,1.0719325542449951,0.5440632700920105,0.5141066908836365,0.5740200281143188,3.2197340260609053e-07,-0.9989434480667114,-9.206029891967773,-0.02211318165063858,-49.875144958496094,nnknn_target_value_model,0,0,68,0,0,68,1893,85,1808,0,0,-472.75,2,4,nnknn,165,nnknn,500,"[33, 61, 71]",-0.0009999825851991773,7.283227751031518e-05,0.0024996961001306772
17345,4,2000,86.09441375732422,-0.011879035271704197,-0.002827901393175125,86.10629272460938,,,,False,0.9051133990287781,1.0532664060592651,0.48242419958114624,0.45077332854270935,0.514074981212616,3.456625279341097e-07,-1.0,-9.193058967590332,-0.00939231924712658,-52.794227600097656,nnknn_target_value_model,0,0,0,0,0,0,2000,50,1950,0,0,-500.0,0,4,nnknn,156,nnknn,500,"[29, 58, 69]",-0.001499873585999012,7.874301809351891e-05,0.0023782546631991863
19345,4,2000,67.76095581054688,0.005694454535841942,0.01437782309949398,67.75526428222656,67.63713836669922,0.4340944290161133,-49.972015380859375,True,0.8683368563652039,1.0318242311477661,0.4190908372402191,0.3874399960041046,0.4507416784763336,4.015286094727344e-07,-1.0,-8.05036735534668,-0.0004571104364003986,-58.01984786987305,nnknn_target_value_model,0,0,6,0,0,6,2000,56,1944,0,0,-500.0,0,4,nnknn,154,nnknn,500,"[30, 58, 66]",-0.0014947636518627405,0.00012423767475411296,0.001999756321310997
21345,4,2000,76.70993041992188,-0.003321615979075432,0.006370727904140949,76.71324920654297,,,,False,0.9692344069480896,1.0483742952346802,0.35575753450393677,0.3241066634654999,0.3874083459377289,5.716665896216e-07,-1.0,-8.435656547546387,3.738403506758914e-07,-56.03023910522461,nnknn_target_value_model,0,0,3,0,0,3,2000,33,1967,0,0,-500.0,0,4,nnknn,149,nnknn,500,"[31, 59, 59]",-0.0014997110702097416,0.0001823130587581545,0.002499749418348074
23345,4,2000,75.4205551147461,-0.015105289407074451,-0.005356381647288799,75.43566131591797,,,,False,0.9748908281326294,1.0404967069625854,0.29242417216300964,0.26077333092689514,0.32407501339912415,7.258772711793426e-07,-1.0,-8.336665153503418,1.8978120408519317e-07,-56.489036560058594,nnknn_target_value_model,0,0,10,0,0,10,2000,79,1921,0,0,-500.0,0,4,nnknn,151,nnknn,500,"[31, 59, 61]",-0.001499926787801087,0.0002457064692862332,0.00244252965785563
25345,4,2000,69.97978973388672,-0.02537105605006218,-0.016171570867300034,70.00515747070312,69.87678527832031,-1.1506750583648682,-50.00356674194336,True,0.9199485182762146,0.9990364909172058,0.2290908545255661,0.1974399983882904,0.2607416808605194,7.75880153014441e-07,-1.0,-8.100069046020508,1.773834270579755e-07,-58.09333801269531,nnknn_target_value_model,0,0,3,0,0,3,2000,78,1922,0,0,-500.0,0,4,nnknn,146,nnknn,500,"[28, 60, 58]",-0.0014998887199908495,0.00036369639565236866,0.002499696798622608
27310,4,1965,72.08732604980469,-0.04692872613668442,-0.037802234292030334,72.1342544555664,,,,False,0.9126490354537964,0.9744358062744141,0.16631166636943817,0.13521499931812286,0.19740833342075348,9.185706062453391e-07,-0.9994910955429077,-7.225607395172119,-0.03198502957820892,-59.80565643310547,nnknn_target_value_model,0,0,40,0,0,40,1965,53,1912,0,0,-491.0,1,4,nnknn,178,nnknn,500,"[34, 72, 72]",-0.0014994542580097914,0.00036289868876338005,0.0029995995573699474
29203,4,1893,67.8345718383789,-0.0413275808095932,-0.03306588903069496,67.87590026855469,67.7361068725586,-0.036152005195617676,-54.225189208984375,True,0.8261692523956299,0.8944222331047058,0.10522666573524475,0.07526999711990356,0.13518333435058594,8.82219410414109e-07,-0.9994717240333557,-6.967245578765869,-0.03298968821763992,-61.1856575012207,nnknn_target_value_model,0,0,40,0,0,40,1893,32,1861,0,0,-473.0,1,4,nnknn,209,nnknn,500,"[34, 93, 82]",-0.0014998202677816153,0.00030683798831887543,0.0033780524972826242
30850,4,1647,79.33177947998047,-0.020450517535209656,-0.012621019966900349,79.35222625732422,,,,False,0.782949686050415,0.8307821154594421,0.05611420422792435,0.05000000074505806,0.07523833215236664,9.25879874102975e-07,-0.9987856149673462,-6.100342750549316,-0.027661673724651337,-61.36390686035156,nnknn_target_value_model,0,0,67,0,0,67,1647,39,1608,0,0,-411.25,2,4,nnknn,265,nnknn,500,"[47, 112, 106]",-0.0014998309779912233,0.0002217524597654119,0.0034988271072506905
32327,4,1477,103.88447570800781,-0.044032949954271317,-0.03616724908351898,103.92850494384766,,,,False,0.7865700125694275,0.8295296430587769,0.05000000447034836,0.05000000074505806,0.05000000074505806,8.557325372748892e-07,-0.9972918033599854,-4.774135112762451,-0.011186536401510239,-59.36001968383789,nnknn_target_value_model,0,0,145,0,0,145,1477,82,1395,0,0,-368.25,4,4,nnknn,396,nnknn,500,"[77, 158, 161]",-0.0014999218983575702,0.00018629328405950218,0.003998758736997843
34103,4,1776,82.82109832763672,-0.038365401327610016,-0.03074014186859131,82.85946655273438,82.75646209716797,0.20401716232299805,-54.7254638671875,True,0.7625259160995483,0.8080312609672546,0.05000000447034836,0.05000000074505806,0.05000000074505806,6.882804655106156e-07,-0.9983108639717102,-5.728323459625244,-0.01711561717092991,-60.43663787841797,nnknn_target_value_model,0,0,112,0,0,112,1776,88,1688,0,0,-443.25,3,4,nnknn,488,nnknn,500,"[100, 200, 188]",-0.001499845995567739,0.00023311612312681973,0.004498665686696768
35783,4,1680,75.28480529785156,-0.0370599664747715,-0.029748795554041862,75.32186889648438,,,,False,0.7311171889305115,0.7810807824134827,0.05000000074505806,0.05000000074505806,0.05000000074505806,7.737730243206897e-07,-0.9988095760345459,-5.978121280670166,-0.026600323617458344,-61.88150405883789,nnknn_target_value_model,0,0,77,50,0,77,1680,98,1582,0,0,-419.5,2,4,nnknn,490,nnknn,500,"[103, 195, 192]",-0.0009997724555432796,0.0003830543428193778,0.004998582415282726
37783,4,2000,49.09390640258789,-0.020525377243757248,-0.012316396459937096,49.11443328857422,49.02362823486328,-0.8460565805435181,-57.50306701660156,True,0.8208981156349182,0.8599153161048889,0.05000000074505806,0.05000000074505806,0.05000000074505806,8.99586666491814e-07,-1.0,-6.943195819854736,-0.0032462659291923046,-64.42245483398438,nnknn_target_value_model,0,0,1,0,0,1,2000,22,1978,0,0,-500.0,0,4,nnknn,466,nnknn,500,"[98, 187, 181]",-0.0009999687317758799,0.0004494629392866045,0.0049101077020168304
39661,4,1878,54.07255554199219,-0.05305875837802887,-0.045837435871362686,54.125614166259766,,,,False,0.7221320867538452,0.7744745016098022,0.05000000447034836,0.05000000074505806,0.05000000074505806,9.92949594547099e-07,-0.9994674921035767,-5.719898700714111,-0.03485798463225365,-66.28363800048828,nnknn_target_value_model,0,0,40,0,0,40,1878,51,1827,0,0,-469.25,1,4,nnknn,482,nnknn,500,"[94, 204, 184]",-0.0009999856119975448,0.0004421025514602661,0.00479856738820672
