global_step,loss,mean_q_value,epsilon
999,0.39699655771255493,0.14623266458511353,0.987346
1000,0.3371467590332031,0.08921319246292114,0.9873333333333333
1001,0.38721764087677,0.05996054410934448,0.9873206666666666
1002,0.3460570275783539,0.01788160763680935,0.987308
1003,0.32336318492889404,-0.01244228333234787,0.9872953333333333
1004,0.289196252822876,-0.05618298053741455,0.9872826666666666
1005,0.27118125557899475,-0.08090159296989441,0.98727
1006,0.24440997838974,-0.1203407421708107,0.9872573333333333
1007,0.22261622548103333,-0.1471957266330719,0.9872446666666667
1008,0.21355587244033813,-0.1735387146472931,0.987232
1009,0.18839991092681885,-0.22657939791679382,0.9872193333333333
1010,0.17558526992797852,-0.25010883808135986,0.9872066666666667
1011,0.15531063079833984,-0.29243969917297363,0.987194
1012,0.1408541202545166,-0.31591105461120605,0.9871813333333334
1013,0.12464569509029388,-0.3450627624988556,0.9871686666666667
1014,0.0976441353559494,-0.4232218861579895,0.987156
1015,0.0987868383526802,-0.4834150969982147,0.9871433333333334
1016,0.07966745644807816,-0.4815124273300171,0.9871306666666667
1017,0.07099593430757523,-0.523531436920166,0.987118
1018,0.06930507719516754,-0.5603101849555969,0.9871053333333333
1019,0.05909466743469238,-0.6124147176742554,0.9870926666666666
1020,0.0673510879278183,-0.6764235496520996,0.98708
1021,0.048014793545007706,-0.7270647287368774,0.9870673333333333
1022,0.034975938498973846,-0.7315250635147095,0.9870546666666666
1023,0.06286755204200745,-0.8017947673797607,0.987042
1024,0.03799548000097275,-0.8262075781822205,0.9870293333333333
1025,0.04067578166723251,-0.8175435066223145,0.9870166666666667
1026,0.06101406365633011,-0.8508334159851074,0.987004
1027,0.04208393394947052,-0.8434255719184875,0.9869913333333333
1028,0.037150658667087555,-0.866388201713562,0.9869786666666667
1029,0.043014589697122574,-0.8259074687957764,0.986966
1030,0.04661504179239273,-0.8630227446556091,0.9869533333333333
1031,0.026680953800678253,-0.8330987095832825,0.9869406666666667
1032,0.030439523980021477,-0.8492770195007324,0.986928
1033,0.03731316700577736,-0.8373826742172241,0.9869153333333334
1034,0.025236688554286957,-0.7924617528915405,0.9869026666666667
1035,0.02299216389656067,-0.7719066143035889,0.98689
1036,0.022823119536042213,-0.7809346318244934,0.9868773333333334
1037,0.02009337954223156,-0.7607604265213013,0.9868646666666666
1038,0.015173254534602165,-0.7290644645690918,0.986852
1039,0.017090817913413048,-0.7413708567619324,0.9868393333333333
1040,0.017142880707979202,-0.7126590013504028,0.9868266666666666
1041,0.014114581048488617,-0.7291886210441589,0.986814
1042,0.010206423699855804,-0.7312616109848022,0.9868013333333333
1043,0.011169210076332092,-0.7210163474082947,0.9867886666666666
1044,0.010942770168185234,-0.7407177686691284,0.986776
1045,0.011826995760202408,-0.742317795753479,0.9867633333333333
1046,0.009760316461324692,-0.7403573989868164,0.9867506666666667
1047,0.011449718847870827,-0.771085798740387,0.986738
1048,0.008334055542945862,-0.7594743967056274,0.9867253333333333
1049,0.0053139859810471535,-0.7783918380737305,0.9867126666666667
1050,0.006235562264919281,-0.7730469703674316,0.9867
1051,0.006501408293843269,-0.7784147262573242,0.9866873333333334
1052,0.005116376560181379,-0.8044592142105103,0.9866746666666667
1053,0.004818299785256386,-0.796587347984314,0.986662
1054,0.004855369683355093,-0.7999193668365479,0.9866493333333334
1055,0.006560244597494602,-0.8041315674781799,0.9866366666666667
1056,0.0032842750661075115,-0.7994201183319092,0.986624
1057,0.006288312375545502,-0.7968356609344482,0.9866113333333333
1058,0.0031472041737288237,-0.8150153756141663,0.9865986666666666
1059,0.003517885459586978,-0.8029817342758179,0.986586
1060,0.003679431974887848,-0.7972379922866821,0.9865733333333333
1061,0.0031487615779042244,-0.7951211929321289,0.9865606666666666
1062,0.003951210528612137,-0.7975784540176392,0.986548
1063,0.002463099081069231,-0.8079067468643188,0.9865353333333333
1064,0.0028075254522264004,-0.79151451587677,0.9865226666666667
1065,0.0020632208324968815,-0.8046444654464722,0.98651
1066,0.002808723133057356,-0.7897735238075256,0.9864973333333333
1067,0.002438285853713751,-0.795534610748291,0.9864846666666667
1068,0.00266399048268795,-0.7733208537101746,0.986472
1069,0.0050560301169753075,-0.7881081700325012,0.9864593333333334
1070,0.0027855245862156153,-0.788375735282898,0.9864466666666667
1071,0.0022682473063468933,-0.7890729308128357,0.986434
1072,0.0020995941013097763,-0.8048398494720459,0.9864213333333334
1073,0.0020770635455846786,-0.7984321117401123,0.9864086666666667
1074,0.0016882490599527955,-0.7981231212615967,0.986396
1075,0.0017169611528515816,-0.799524188041687,0.9863833333333333
1076,0.002068662317469716,-0.7989330291748047,0.9863706666666666
1077,0.0011081170523539186,-0.795089840888977,0.986358
1078,0.001369805890135467,-0.8047130107879639,0.9863453333333333
1079,0.0014077695086598396,-0.7992455959320068,0.9863326666666666
1080,0.0008769717533141375,-0.7927981019020081,0.98632
1081,0.001004118355922401,-0.8076225519180298,0.9863073333333333
1082,0.0009059208678081632,-0.8047601580619812,0.9862946666666667
1083,0.0016335552791133523,-0.7950818538665771,0.986282
1084,0.0006457407143898308,-0.8027265071868896,0.9862693333333333
1085,0.001314208609983325,-0.7949843406677246,0.9862566666666667
1086,0.0005878093070350587,-0.8016071319580078,0.986244
1087,0.0007835353026166558,-0.8063210248947144,0.9862313333333333
1088,0.0011645557824522257,-0.7958855628967285,0.9862186666666667
1089,0.0009089848608709872,-0.8046743869781494,0.986206
1090,0.0012582564959302545,-0.7978585958480835,0.9861933333333334
1091,0.0011228311341255903,-0.7947005033493042,0.9861806666666667
1092,0.0005889119347557425,-0.801306962966919,0.986168
