global_step,episode,episode_return,episode_length,update,learning_rate,policy_loss,value_loss,entropy,approx_kl
500,1,-500.0,500,0,0.0003,,,,
1000,2,-500.0,500,0,0.0003,,,,
1500,3,-500.0,500,0,0.0003,,,,
2000,4,-500.0,500,0,0.0003,,,,
2349,5,-348.0,349,1,0.000295904,-0.0054190144233871255,129.7725130558014,1.0928674582391977,0.005652404416468926
2849,6,-500.0,500,1,0.000295904,-0.0054190144233871255,129.7725130558014,1.0928674582391977,0.005652404416468926
3349,7,-500.0,500,1,0.000295904,-0.0054190144233871255,129.7725130558014,1.0928674582391977,0.005652404416468926
3849,8,-500.0,500,1,0.000295904,-0.0054190144233871255,129.7725130558014,1.0928674582391977,0.005652404416468926
4253,9,-403.0,404,2,0.00029180799999999995,-0.0063665969806606885,127.96309106349945,1.08511382676661,0.004044685058761388
4753,10,-500.0,500,2,0.00029180799999999995,-0.0063665969806606885,127.96309106349945,1.08511382676661,0.004044685058761388
5253,11,-500.0,500,2,0.00029180799999999995,-0.0063665969806606885,127.96309106349945,1.08511382676661,0.004044685058761388
5715,12,-461.0,462,2,0.00029180799999999995,-0.0063665969806606885,127.96309106349945,1.08511382676661,0.004044685058761388
5957,13,-241.0,242,2,0.00029180799999999995,-0.0063665969806606885,127.96309106349945,1.08511382676661,0.004044685058761388
6353,14,-395.0,396,3,0.00028771199999999997,-0.006730934270308353,124.1116506099701,1.0615876991301776,0.006576212772051804
6625,15,-271.0,272,3,0.00028771199999999997,-0.006730934270308353,124.1116506099701,1.0615876991301776,0.006576212772051804
6988,16,-362.0,363,3,0.00028771199999999997,-0.006730934270308353,124.1116506099701,1.0615876991301776,0.006576212772051804
7252,17,-263.0,264,3,0.00028771199999999997,-0.006730934270308353,124.1116506099701,1.0615876991301776,0.006576212772051804
7467,18,-214.0,215,3,0.00028771199999999997,-0.006730934270308353,124.1116506099701,1.0615876991301776,0.006576212772051804
7676,19,-208.0,209,3,0.00028771199999999997,-0.006730934270308353,124.1116506099701,1.0615876991301776,0.006576212772051804
7972,20,-295.0,296,3,0.00028771199999999997,-0.006730934270308353,124.1116506099701,1.0615876991301776,0.006576212772051804
8334,21,-361.0,362,4,0.000283616,-0.00823349028796656,118.42873859405518,1.0484458412975073,0.0038092837465228515
8569,22,-234.0,235,4,0.000283616,-0.00823349028796656,118.42873859405518,1.0484458412975073,0.0038092837465228515
8817,23,-247.0,248,4,0.000283616,-0.00823349028796656,118.42873859405518,1.0484458412975073,0.0038092837465228515
9085,24,-267.0,268,4,0.000283616,-0.00823349028796656,118.42873859405518,1.0484458412975073,0.0038092837465228515
9297,25,-211.0,212,4,0.000283616,-0.00823349028796656,118.42873859405518,1.0484458412975073,0.0038092837465228515
9674,26,-376.0,377,4,0.000283616,-0.00823349028796656,118.42873859405518,1.0484458412975073,0.0038092837465228515
10037,27,-362.0,363,4,0.000283616,-0.00823349028796656,118.42873859405518,1.0484458412975073,0.0038092837465228515
10334,28,-296.0,297,5,0.00027951999999999995,-0.007703898847830714,116.49403727054596,1.0225546589121222,0.004935634537832812
10587,29,-252.0,253,5,0.00027951999999999995,-0.007703898847830714,116.49403727054596,1.0225546589121222,0.004935634537832812
