global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
60,4,60,48.54212951660156,-0.006931450217962265,2.1855036891338386e-08,48.5490608215332,,,,False,0.6931472420692444,0.6931472420692444,1.0,1.0,1.0,0.0,1.0,6.289273738861084,4.7683716530855236e-08,6.289273738861084,nnknn_target_value_model,0,0,60,0,0,60,60,0,0,0,0,15.0,0,4,nnknn,60,nnknn,60,"[26, 34]",0.0,0.0,0.0
182,4,122,56.67206954956055,-0.006250215694308281,5.0323909817961976e-05,56.67831802368164,,,,False,0.6300539970397949,0.6931470632553101,0.9984737038612366,0.9977073073387146,0.999239981174469,0.0,1.0,5.293802738189697,-5.4719016873150395e-08,13.184269905090332,nnknn_target_value_model,0,0,98,0,0,98,122,0,0,0,0,30.5,0,4,nnknn,158,nnknn,182,"[70, 88]",-0.0004999057273380458,-5.0521739467512816e-05,0.0004999666707590222
257,4,75,15.794172286987305,-0.006564767099916935,-0.0002653153787832707,15.800737380981445,15.849266052246094,0.6022647023200989,12.586273193359375,True,0.6299452185630798,0.6931467056274414,0.9972260594367981,0.9967573285102844,0.9976946711540222,9.471992257203965e-08,1.0,-1.7234638929367065,-2.8610228852699038e-08,10.849549293518066,nnknn_target_value_model,0,0,22,0,0,22,75,0,0,0,0,18.75,0,4,nnknn,180,nnknn,257,"[82, 98]",-0.0009904494509100914,-0.0001076744229067117,0.0009203078807331622
314,4,57,10.804976463317871,-0.00621278490871191,3.5441757063381374e-05,10.811189651489258,,,,False,0.6248226761817932,0.6931463479995728,0.9963899850845337,0.9960353374481201,0.996744692325592,2.3921890601741325e-07,1.0,-1.4185268878936768,5.855894968931352e-08,8.544327735900879,nnknn_target_value_model,0,0,20,0,0,20,57,0,0,0,0,14.25,0,4,nnknn,200,nnknn,314,"[94, 106]",-0.001354374922811985,-0.00016118670464493334,0.00124224997125566
451,4,137,52.63358688354492,-0.006400475278496742,-8.920422260416672e-05,52.63998794555664,52.34091567993164,0.3329695463180542,12.287755966186523,True,0.631127119064331,0.6931458115577698,0.9951612949371338,0.9943000078201294,0.996022641658783,4.7376244083352503e-07,1.0,3.7284529209136963,-2.6104224559730937e-08,15.974080085754395,nnknn_target_value_model,0,0,98,0,0,98,137,0,0,0,0,34.25,0,4,nnknn,298,nnknn,451,"[145, 153]",-0.0017944697756320238,-0.00016072823200374842,0.0015872789081186056
514,4,63,12.846677780151367,-0.007054062094539404,-0.0009271228336729109,12.853732109069824,,,,False,0.6126939654350281,0.6931443214416504,0.9938946962356567,0.9935020208358765,0.9942873120307922,5.615241889245226e-07,1.0,-1.8399200439453125,-7.379622957159881e-08,8.703496932983398,nnknn_target_value_model,0,0,17,0,0,17,63,0,0,0,0,15.75,0,4,nnknn,315,nnknn,514,"[154, 161]",-0.002166429068893194,-0.00021296531485859305,0.0019598929211497307
593,4,79,18.011072158813477,-0.006446090526878834,-0.00027084953035227954,18.017518997192383,,,,False,0.6175240874290466,0.6931436657905579,0.9929953217506409,0.9925013184547424,0.9934893250465393,8.219652727348148e-07,1.0,0.15014690160751343,-1.0562848373751876e-08,11.399474143981934,nnknn_target_value_model,0,0,36,0,0,36,79,0,0,0,0,19.75,0,4,nnknn,351,nnknn,593,"[174, 177]",-0.0025639289524406195,-0.0002446948201395571,0.00230719824321568
710,4,117,28.505464553833008,-0.006905548274517059,-0.0006356004741974175,28.51236915588379,28.41210174560547,0.5374075174331665,14.109109878540039,True,0.626994788646698,0.6931428909301758,0.9917540550231934,0.9910193085670471,0.99248868227005,1.0547980764386011e-06,1.0,0.9061098098754883,2.0377657339309962e-09,15.042123794555664,nnknn_target_value_model,0,0,60,0,0,60,117,0,0,0,0,29.25,0,4,nnknn,411,nnknn,710,"[202, 209]",-0.0028815940022468567,-0.00024237144680228084,0.002634375123307109
811,4,101,27.897911071777344,-0.007009787950664759,-0.0009171408019028604,27.90492057800293,,,,False,0.6092647314071655,0.6931400299072266,0.9903733730316162,0.9897400140762329,0.9910066723823547,1.2028486935378169e-06,1.0,1.1163424253463745,-3.65889896158933e-08,13.901154518127441,nnknn_target_value_model,0,0,55,0,0,55,101,0,0,0,0,25.25,0,4,nnknn,466,nnknn,811,"[230, 236]",-0.0031697312369942665,-0.00024536537239328027,0.0029330113902688026
949,4,138,40.79128646850586,-0.006361109670251608,-0.0001858075411291793,40.79764938354492,40.447898864746094,0.5362806916236877,12.943693161010742,True,0.6175302267074585,0.6931382417678833,0.9888596534729004,0.987991988658905,0.9897273182868958,1.370361019326083e-06,1.0,3.167238235473633,4.9238618515801136e-08,16.098318099975586,nnknn_target_value_model,0,0,95,0,0,95,138,0,0,0,0,34.5,0,4,nnknn,561,nnknn,949,"[280, 281]",-0.0034706401638686657,-0.00022861573961563408,0.003353612730279565
1114,4,165,48.11204147338867,-0.0073992908000946045,-0.0014803532976657152,48.119441986083984,,,,False,0.5918937921524048,0.6931312084197998,0.9869406223297119,0.9859020113945007,0.9879793524742126,1.4566307982022408e-06,1.0,3.9315378665924072,-1.3004649801473533e-08,17.793596267700195,nnknn_target_value_model,0,0,118,0,0,118,165,0,0,0,0,41.25,0,4,nnknn,679,nnknn,1114,"[336, 343]",-0.0037706419825553894,-0.00020564193255268037,0.0037535023875534534
1189,4,75,30.284488677978516,-0.006564205512404442,-0.0003908260550815612,30.291053771972656,,,,False,0.6173379421234131,0.6931321024894714,0.9854207634925842,0.9849519729614258,0.9858893156051636,1.0694337788663688e-06,1.0,-2.4192662239074707,-4.76837147544984e-09,12.023945808410645,nnknn_target_value_model,0,0,23,0,0,23,75,0,0,0,0,18.75,0,4,nnknn,668,nnknn,1133,"[341, 327]",-0.0030574905686080456,-5.153369056642987e-05,0.003653202671557665
1287,4,98,22.20777130126953,-0.007699072826653719,-0.0019010986434295774,22.215471267700195,22.084543228149414,0.6248718500137329,14.468761444091797,True,0.5797974467277527,0.6931220889091492,0.9843249320983887,0.9837106466293335,0.9849393367767334,1.160154852186679e-06,1.0,-0.9134376645088196,4.865685188093494e-09,13.604186058044434,nnknn_target_value_model,0,0,35,0,0,35,98,0,0,0,0,24.5,0,4,nnknn,703,nnknn,1231,"[364, 339]",-0.003392260754480958,-4.8188485379796475e-05,0.004067151807248592
1406,4,119,62.87071228027344,-0.0075195240788161755,-0.0015341589460149407,62.878231048583984,,,,False,0.5985365509986877,0.693122148513794,0.9829506874084473,0.9822033047676086,0.9836980104446411,1.3752810446021613e-06,1.0,1.9472143650054932,2.7047486028664025e-08,17.71639633178711,nnknn_target_value_model,0,0,60,0,0,60,119,0,0,0,0,29.75,0,4,nnknn,763,nnknn,1350,"[393, 370]",-0.003451214637607336,-4.52741514891386e-05,0.004215390887111425
1473,4,67,30.169523239135742,-0.008410855196416378,-0.0023207291960716248,30.177934646606445,28.83892822265625,0.42562806606292725,12.496397018432617,True,0.6090126037597656,0.6931220293045044,0.9817727208137512,0.9813546538352966,0.9821906685829163,1.5718298982392298e-06,1.0,-2.000185012817383,1.0675458739228816e-08,10.622334480285645,nnknn_target_value_model,0,0,20,0,0,20,67,0,0,0,0,16.75,0,4,nnknn,783,nnknn,1417,"[403, 380]",-0.003578292904421687,-3.917207141057588e-05,0.00433845492079854
1557,4,84,22.88151741027832,-0.007427969016134739,-0.0016832795226946473,22.888944625854492,,,,False,0.5744689702987671,0.6931081414222717,0.9808163642883301,0.9802906513214111,0.9813420176506042,1.831737222346419e-06,1.0,-1.9272485971450806,-1.1708054969972181e-08,12.334938049316406,nnknn_target_value_model,0,0,30,0,0,30,84,0,0,0,0,21.0,0,4,nnknn,813,nnknn,1501,"[421, 392]",-0.0038068194407969713,-3.342231866554357e-05,0.0045373085886240005
1716,4,159,63.83411407470703,-0.008567429147660732,-0.002535224659368396,63.842681884765625,,,,False,0.6032204627990723,0.693111777305603,0.9792774319648743,0.9782766699790955,0.9802780151367188,2.1017938252043677e-06,1.0,4.573720455169678,3.5987710589324706e-08,18.19684600830078,nnknn_target_value_model,0,0,118,0,0,118,159,0,0,0,0,39.75,0,4,nnknn,931,nnknn,1660,"[482, 449]",-0.004022706765681505,-1.8578950403025374e-05,0.004843202885240316
1810,4,94,21.637928009033203,-0.009557717479765415,-0.003729940624907613,21.647485733032227,21.895586013793945,0.5810576677322388,14.392617225646973,True,0.582777738571167,0.6930963397026062,0.9776750206947327,0.9770860075950623,0.9782639741897583,2.1629020920954645e-06,1.0,-1.338918685913086,-6.340919789238342e-09,13.109766960144043,nnknn_target_value_model,0,0,34,0,0,34,94,0,0,0,0,23.5,0,4,nnknn,965,nnknn,1754,"[498, 467]",-0.004211221355944872,-6.493196451629046e-06,0.005110313184559345
1875,4,65,23.876771926879883,-0.0077590965665876865,-0.00188310700468719,23.884531021118164,,,,False,0.5875990390777588,0.693094789981842,0.9766680002212524,0.9762626886367798,0.9770733118057251,2.4172420580725884e-06,1.0,-3.201608657836914,-7.702754345473295e-08,9.729338645935059,nnknn_target_value_model,0,0,13,0,0,13,65,0,0,0,0,16.25,0,4,nnknn,978,nnknn,1819,"[506, 472]",-0.0043378365226089954,1.7912818748300197e-06,0.005345762241631746
1946,4,71,24.294414520263672,-0.00935638789087534,-0.0034351448994129896,24.303770065307617,24.214448928833008,0.5208531618118286,13.2420015335083,True,0.5921242833137512,0.693094789981842,0.9758066534996033,0.9753633141517639,0.9762499928474426,2.7175649393029744e-06,1.0,-2.733070135116577,-1.0074024281436778e-08,10.65357494354248,nnknn_target_value_model,0,0,18,0,0,18,71,0,0,0,0,17.75,0,4,nnknn,996,nnknn,1890,"[517, 479]",-0.00465916795656085,1.2567122212203685e-05,0.005554756615310907
2011,4,65,21.873083114624023,-0.009423838928341866,-0.00348103791475296,21.88250732421875,,,,False,0.5942801237106323,0.6930921077728271,0.9749453067779541,0.9745399951934814,0.9753506779670715,2.997800947923679e-06,1.0,-2.9617605209350586,1.0270338890450148e-07,9.753077507019043,nnknn_target_value_model,0,0,10,0,0,10,65,0,0,0,0,16.25,0,4,nnknn,1006,nnknn,1955,"[523, 483]",-0.004958244040608406,2.3159987904364243e-05,0.00574125861749053
2085,4,74,17.148090362548828,-0.009874030016362667,-0.003954143263399601,17.1579647064209,,,,False,0.5919886827468872,0.6930835843086243,0.9740648865699768,0.9736026525497437,0.9745273590087891,2.746284053500858e-06,1.0,-1.7210290431976318,-1.9331235279196335e-08,10.65865707397461,nnknn_target_value_model,0,0,23,0,0,23,74,0,0,0,0,18.5,0,4,nnknn,978,nnknn,1931,"[514, 464]",-0.0034537340980023146,0.0002227429358754307,0.005687593016773462
2155,4,70,12.492355346679688,-0.011481358669698238,-0.005892092827707529,12.503836631774902,12.218924522399902,0.7179688215255737,11.782608032226562,True,0.5589265823364258,0.693060576915741,0.9731530547142029,0.9727159738540649,0.9735900163650513,2.8491183456935687e-06,1.0,-2.2262110710144043,-1.362391888193315e-08,9.79720687866211,nnknn_target_value_model,0,0,18,0,0,18,70,100,0,0,0,17.5,0,4,nnknn,996,nnknn,1901,"[522, 474]",-0.003788457717746496,0.00023619603598490357,0.006134015042334795
2252,4,97,22.956544876098633,-0.009032601490616798,-0.0033473882358521223,22.965578079223633,,,,False,0.5685213804244995,0.6930580735206604,0.9720953702926636,0.9714873433113098,0.9727033376693726,3.0515168418787653e-06,1.0,0.6701588034629822,-1.2289617323801849e-08,13.061240196228027,nnknn_target_value_model,0,0,46,0,0,46,97,0,0,0,0,24.25,0,4,nnknn,1042,nnknn,1998,"[545, 497]",-0.0042272391729056835,0.0002445754944346845,0.0065263258293271065
2313,4,61,15.278703689575195,-0.00913194753229618,-0.0038830304984003305,15.287836074829102,14.228514671325684,0.705681562423706,11.302767753601074,True,0.52489173412323,0.6930215954780579,0.9710946679115295,0.9707146883010864,0.9714746475219727,3.1722513540444197e-06,1.0,-2.855438232421875,2.345100824641122e-08,8.569550514221191,nnknn_target_value_model,0,0,9,0,0,9,61,100,0,0,0,15.25,0,4,nnknn,1051,nnknn,1959,"[549, 502]",-0.004553008358925581,0.0002599456929601729,0.006792179308831692
