global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
2000,critic,capacity_insert,0,1500,500,,0.0,0.0,0.0
4000,critic,capacity_insert,73,1927,500,,0.0,0.0004110100562684238,0.0004999997327104211
5853,critic,capacity_insert,406,1447,500,,0.0,0.00010272568033542484,0.0009953565895557404
7853,critic,capacity_insert,71,1929,500,,0.0,0.00035957375075668097,0.0009999999310821295
9732,critic,capacity_insert,180,1699,500,,0.0,0.00031399994622915983,0.0009999999310821295
9732,actor,scheduled_batch_boundary,2,0,39,"[10, 14, 15]",-0.0009880407014861703,-8.905788490665145e-06,0.0010004035430029035
11732,critic,capacity_insert,114,1886,500,,0.0,0.0004599998355843127,0.0009999999310821295
11732,actor,scheduled_batch_boundary,3,0,40,"[10, 14, 16]",-0.001386774587444961,0.00011245084897382185,0.001500381506048143
13732,critic,capacity_insert,81,1919,500,,0.0,0.0005389997968450189,0.0014999996637925506
13732,actor,scheduled_batch_boundary,3,0,40,"[9, 16, 15]",-0.0009999378817155957,0.00016252683417405933,0.0020001931115984917
15556,critic,capacity_insert,82,1742,500,,0.0,0.0006199998315423727,0.0019999996293336153
15556,actor,scheduled_batch_boundary,4,0,72,"[18, 30, 24]",-0.0009999399771913886,0.00012349132157396525,0.0025000886525958776
17556,critic,capacity_insert,113,1887,500,,0.0,0.0007419975008815527,0.001999999862164259
17556,actor,scheduled_batch_boundary,4,0,71,"[19, 29, 23]",-0.0009998404420912266,0.00017358358309138566,0.003000047989189625
19556,critic,capacity_insert,63,1937,500,,0.0,0.0007919975905679166,0.0019999996293336153
19556,actor,scheduled_batch_boundary,4,0,71,"[21, 26, 24]",-0.0013454030267894268,0.00026084508863277733,0.003499506739899516
21556,critic,capacity_insert,53,1947,500,,0.0,0.0008709968533366919,0.0024999945890158415
21556,actor,scheduled_batch_boundary,4,0,68,"[21, 23, 24]",-0.0014991412172093987,0.0002994841488543898,0.003999402746558189
23556,critic,capacity_insert,63,1937,500,,0.0,0.0009709980804473162,0.002999987220391631
23556,actor,scheduled_batch_boundary,4,0,71,"[22, 23, 26]",-0.0009999889880418777,0.0003158360777888447,0.003499692538753152
25556,critic,capacity_insert,85,1915,500,,0.0,0.001117998850531876,0.0029999995604157448
25556,actor,scheduled_batch_boundary,4,0,73,"[23, 24, 26]",-0.0009993378771468997,0.0003251114976592362,0.003999619744718075
27556,critic,capacity_insert,53,1947,500,,0.0,0.0011459990637376904,0.002999997930601239
27556,actor,scheduled_batch_boundary,4,0,73,"[22, 24, 27]",-0.001000068848952651,0.00035401960485614836,0.0044995560310781
29556,critic,capacity_insert,27,1973,500,,0.0,0.001229998655617237,0.003499997314065695
29556,actor,scheduled_batch_boundary,4,0,73,"[21, 26, 26]",-0.001002986216917634,0.00042276218300685287,0.003999583423137665
31556,critic,capacity_insert,50,1950,500,,0.0,0.001272990251891315,0.0039999959990382195
31556,actor,scheduled_batch_boundary,4,0,73,"[22, 26, 25]",-0.0009999331086874008,0.0004698218253906816,0.003500473452731967
33556,critic,capacity_insert,80,1920,500,,0.0,0.0013159910449758172,0.003999998327344656
33556,actor,scheduled_batch_boundary,5,0,82,"[25, 28, 29]",-0.0009984713979065418,0.0004670671478379518,0.004000465385615826
35556,critic,capacity_insert,44,1956,500,,0.0,0.001449989853426814,0.0039999946020543575
35556,actor,scheduled_batch_boundary,5,0,78,"[22, 28, 28]",-0.000999965239316225,0.0006188887055031955,0.0035004732199013233
37556,critic,capacity_insert,39,1961,500,,0.0,0.001535990508273244,0.0039999946020543575
37556,actor,scheduled_batch_boundary,5,0,80,"[23, 30, 27]",-0.0009999151807278395,0.0006604394293390214,0.0034982499200850725
39556,critic,capacity_insert,29,1971,500,,0.0,0.0016489902045577765,0.003999998327344656
39556,actor,scheduled_batch_boundary,5,0,81,"[23, 31, 27]",-0.0007554185576736927,0.000637294608168304,0.0030114962719380856
41556,critic,capacity_insert,34,1966,500,,0.0,0.0017699903110042214,0.004499990493059158
41556,actor,scheduled_batch_boundary,5,0,82,"[24, 31, 27]",-0.0004999954253435135,0.000721468182746321,0.00300058675929904
43556,critic,capacity_insert,29,1971,500,,0.0,0.001884990488179028,0.0044999984093010426
43556,actor,scheduled_batch_boundary,5,0,78,"[21, 30, 27]",-0.0009995107538998127,0.0008097639074549079,0.0035002902150154114
45556,critic,capacity_insert,39,1961,500,,0.0,0.001964991446584463,0.004999998025596142
45556,actor,scheduled_batch_boundary,5,0,82,"[20, 33, 29]",-0.0009999362519010901,0.0008427731227129698,0.004000174812972546
47556,critic,capacity_insert,35,1965,500,,0.0,0.00202100514434278,0.005499997176229954
47556,actor,scheduled_batch_boundary,5,0,84,"[21, 37, 26]",-0.0004999968805350363,0.0008912443299777806,0.004500105977058411
49556,critic,capacity_insert,58,1942,500,,0.0,0.0020240063313394785,0.005999988876283169
49556,actor,scheduled_batch_boundary,5,0,86,"[19, 39, 28]",-0.0005000968812964857,0.0009194903541356325,0.004000129643827677
51556,critic,capacity_insert,46,1954,500,,0.0,0.0018760047387331724,0.005499989725649357
51556,actor,scheduled_batch_boundary,5,0,81,"[16, 39, 26]",-0.000999949756078422,0.0009819591650739312,0.0035001335199922323
53556,critic,capacity_insert,2000,0,500,,0.0,0.0017210048390552402,0.005499997641891241
53556,actor,scheduled_batch_boundary,5,0,82,"[19, 40, 23]",-0.0006456199917010963,0.0009484309121035039,0.004000124521553516
53556,critic,scheduled_batch_boundary,25,0,475,,6.472691826964194e-11,0.0018115837592631578,0.005499997641891241
55556,critic,capacity_insert,49,1926,500,,0.0,0.0015970050590112805,0.00599999725818634
55556,actor,scheduled_batch_boundary,5,0,85,"[21, 41, 23]",-0.0005001038080081344,0.0009814829099923372,0.003999520558863878
57269,critic,capacity_insert,52,1661,500,,0.0,0.0015460224822163582,0.006499994080513716
57269,actor,scheduled_batch_boundary,11,0,202,"[39, 100, 63]",-3.559701156063966e-08,0.0004476553003769368,0.004499516915529966
58860,critic,capacity_insert,49,1542,500,,0.0,0.001555021619424224,0.006999993231147528
58860,actor,scheduled_batch_boundary,15,0,281,"[65, 135, 81]",-0.0004999921075068414,0.0003442505549173802,0.004999480675905943
59990,critic,capacity_insert,90,1040,500,,0.0,0.0015990226529538631,0.007499990053474903
59990,actor,scheduled_batch_boundary,23,0,438,"[124, 192, 122]",-0.0009998519672080874,0.0002493959909770638,0.0054994565434753895
61129,actor,capacity_insert,150,0,486,"[160, 202, 124]",-0.0004997873329557478,0.00039471499621868134,0.004999527242034674
61129,critic,capacity_insert,61,1078,500,,0.0,0.0015700221993029118,0.006999993231147528
61129,actor,scheduled_batch_boundary,25,0,461,"[149, 192, 120]",-3.764126432770354e-08,0.00043128745164722204,0.004999527242034674
62029,actor,capacity_insert,157,0,497,"[173, 183, 141]",0.0,0.0004745168553199619,0.00449956301599741
62029,critic,capacity_insert,89,811,500,,0.0,0.0015440143179148436,0.007499992847442627
62836,actor,capacity_insert,147,71,500,"[189, 160, 151]",0.0,0.0006006037001498044,0.004999530967324972
62836,critic,capacity_insert,86,721,500,,0.0,0.0015120151219889522,0.007999943569302559
63683,actor,capacity_insert,125,92,500,"[196, 160, 144]",0.0,0.0006889359792694449,0.005478371400386095
63683,critic,capacity_insert,101,746,500,,0.0,0.0014380149077624083,0.00849994271993637
64415,actor,capacity_insert,128,106,500,"[214, 153, 133]",0.0,0.0007696515531279147,0.005978345405310392
64415,critic,capacity_insert,88,644,500,,0.0,0.0014990147901698947,0.008999942801892757
65277,actor,capacity_insert,106,141,500,"[224, 146, 130]",0.0,0.0008803580421954393,0.006478327326476574
65277,critic,capacity_insert,64,798,500,,0.0,0.0015040152939036489,0.008499943651258945
66783,actor,capacity_insert,93,120,500,"[224, 138, 138]",0.0,0.0009343913407064974,0.0059783426113426685
66783,critic,capacity_insert,64,1442,500,,0.0,0.0015300150262191892,0.007999943569302559
68435,actor,capacity_insert,95,83,500,"[226, 144, 130]",0.0,0.0009636508766561747,0.005491351243108511
68435,critic,capacity_insert,84,1568,500,,0.0,0.0016010154504328966,0.007499987725168467
70184,actor,capacity_insert,103,45,500,"[226, 135, 139]",0.0,0.0009853680385276675,0.005983255337923765
70184,critic,capacity_insert,66,1683,500,,0.0,0.0016660154797136784,0.007999987341463566
71196,actor,capacity_insert,80,161,500,"[231, 134, 135]",0.0,0.001070240163244307,0.006483244709670544
