dataset,policy,adapter_mode,post_retrieval_acc_mean,post_retrieval_acc_std,post_adapted_acc_mean,post_adapted_acc_std,acc_delta_mean,correct_flips_mean,harmful_flips_mean,net_flip_benefit_mean
breast_cancer,bias_only,logit_residual,0.9629629651705424,0.013505252348971342,0.9590643445650736,0.010128947864917935,-0.00389862060546875,0.3333333333333333,1.0,-0.6666666666666666
breast_cancer,bias_only,nominal_residual_scores,0.9629629651705424,0.013505252348971342,0.9649122754732767,0.005847960710550826,0.001949310302734375,1.6666666666666667,1.3333333333333333,0.3333333333333333
breast_cancer,bias_only,none,0.9629629651705424,0.013505252348971342,0.9629629651705424,0.013505252348971342,0.0,0.0,0.0,0.0
breast_cancer,provenance_bias_coverage,logit_residual,0.9668616056442261,0.017865782561077907,0.961013654867808,0.014717033207261969,-0.00584795077641805,0.3333333333333333,1.3333333333333333,-1.0
breast_cancer,provenance_bias_coverage,nominal_residual_scores,0.9668616056442261,0.017865782561077907,0.9668616056442261,0.0089329205458439,0.0,1.6666666666666667,1.6666666666666667,0.0
breast_cancer,provenance_bias_coverage,none,0.9668616056442261,0.017865782561077907,0.9668616056442261,0.017865782561077907,0.0,0.0,0.0,0.0
breast_cancer,provenance_only,logit_residual,0.9473684430122375,0.01754385232925415,0.9454190929730734,0.018798535772229955,-0.0019493500391642253,0.3333333333333333,0.6666666666666666,-0.3333333333333333
breast_cancer,provenance_only,nominal_residual_scores,0.9473684430122375,0.01754385232925415,0.943469782670339,0.022139977316159826,-0.0038986603418986,0.3333333333333333,1.0,-0.6666666666666666
breast_cancer,provenance_only,none,0.9473684430122375,0.01754385232925415,0.9473684430122375,0.01754385232925415,0.0,0.0,0.0,0.0
breast_cancer,stratified,logit_residual,0.9629629651705424,0.00893289453224425,0.961013654867808,0.017865815078073947,-0.001949310302734375,1.0,1.3333333333333333,-0.3333333333333333
breast_cancer,stratified,nominal_residual_scores,0.9629629651705424,0.00893289453224425,0.9649122953414917,0.015472227188501239,0.0019493301709493,2.0,1.6666666666666667,0.3333333333333333
breast_cancer,stratified,none,0.9629629651705424,0.00893289453224425,0.9629629651705424,0.00893289453224425,0.0,0.0,0.0,0.0
breast_cancer,trustworthiness_only,logit_residual,0.9649122953414917,0.01754385232925415,0.9629629651705424,0.017865789064488487,-0.0019493301709493,0.3333333333333333,0.6666666666666666,-0.3333333333333333
breast_cancer,trustworthiness_only,nominal_residual_scores,0.9649122953414917,0.01754385232925415,0.9590643445650736,0.015472238452713498,-0.00584795077641805,0.6666666666666666,1.6666666666666667,-1.0
breast_cancer,trustworthiness_only,none,0.9649122953414917,0.01754385232925415,0.9649122953414917,0.01754385232925415,0.0,0.0,0.0,0.0
iris,bias_only,logit_residual,0.9185185233751932,0.025660010434527477,0.9481481512387594,0.03394500312454106,0.029629627863566082,1.3333333333333333,0.0,1.3333333333333333
iris,bias_only,nominal_residual_scores,0.9185185233751932,0.025660010434527477,0.9481481512387594,0.03394500312454106,0.029629627863566082,1.3333333333333333,0.0,1.3333333333333333
iris,bias_only,none,0.9185185233751932,0.025660010434527477,0.9185185233751932,0.025660010434527477,0.0,0.0,0.0,0.0
iris,provenance_bias_coverage,logit_residual,0.9185185233751932,0.01283000521726375,0.9407407442728678,0.025660010434527477,0.02222222089767456,1.0,0.0,1.0
iris,provenance_bias_coverage,nominal_residual_scores,0.9185185233751932,0.01283000521726375,0.9407407442728678,0.025660010434527477,0.02222222089767456,1.0,0.0,1.0
iris,provenance_bias_coverage,none,0.9185185233751932,0.01283000521726375,0.9185185233751932,0.01283000521726375,0.0,0.0,0.0,0.0
iris,provenance_only,logit_residual,0.9037037094434103,0.03394500312454106,0.8962963024775187,0.025660010434527477,-0.0074074069658915205,0.3333333333333333,0.6666666666666666,-0.3333333333333333
iris,provenance_only,nominal_residual_scores,0.9037037094434103,0.03394500312454106,0.9037037094434103,0.025660010434527453,0.0,0.6666666666666666,0.6666666666666666,0.0
iris,provenance_only,none,0.9037037094434103,0.03394500312454106,0.9037037094434103,0.03394500312454106,0.0,0.0,0.0,0.0
iris,stratified,logit_residual,0.9111111164093018,0.02222222089767456,0.9185185233751932,0.025660010434527477,0.0074074069658915205,0.3333333333333333,0.0,0.3333333333333333
iris,stratified,nominal_residual_scores,0.9111111164093018,0.02222222089767456,0.9333333373069763,0.02222222089767456,0.02222222089767456,1.0,0.0,1.0
iris,stratified,none,0.9111111164093018,0.02222222089767456,0.9111111164093018,0.02222222089767456,0.0,0.0,0.0,0.0
iris,trustworthiness_only,logit_residual,0.9111111164093018,0.02222222089767456,0.9407407442728678,0.025660010434527477,0.029629627863566082,1.3333333333333333,0.0,1.3333333333333333
iris,trustworthiness_only,nominal_residual_scores,0.9111111164093018,0.02222222089767456,0.9407407442728678,0.025660010434527477,0.029629627863566082,1.3333333333333333,0.0,1.3333333333333333
iris,trustworthiness_only,none,0.9111111164093018,0.02222222089767456,0.9111111164093018,0.02222222089767456,0.0,0.0,0.0,0.0
synthetic,bias_only,logit_residual,0.8203703562418619,0.03699071777041429,0.8203703761100769,0.030597591585067016,1.9868214925130207e-08,3.0,3.0,0.0
synthetic,bias_only,nominal_residual_scores,0.8203703562418619,0.03699071777041429,0.8018518686294556,0.025051393733182704,-0.018518487612406414,4.0,7.333333333333333,-3.3333333333333335
synthetic,bias_only,none,0.8203703562418619,0.03699071777041429,0.8203703562418619,0.03699071777041429,0.0,0.0,0.0,0.0
synthetic,provenance_bias_coverage,logit_residual,0.8259259462356567,0.022452510359240212,0.8388888835906982,0.025458762098508163,0.012962937355041504,4.333333333333333,2.0,2.3333333333333335
synthetic,provenance_bias_coverage,nominal_residual_scores,0.8259259462356567,0.022452510359240212,0.8314814964930216,0.027962332303920836,0.005555550257364909,7.333333333333333,6.333333333333333,1.0
synthetic,provenance_bias_coverage,none,0.8259259462356567,0.022452510359240212,0.8259259462356567,0.022452510359240212,0.0,0.0,0.0,0.0
synthetic,provenance_only,logit_residual,0.814814825852712,0.022452534939779806,0.814814825852712,0.017858625362507784,0.0,0.6666666666666666,0.6666666666666666,0.0
synthetic,provenance_only,nominal_residual_scores,0.814814825852712,0.022452534939779806,0.809259275595347,0.027404908191822897,-0.005555550257364909,2.0,3.0,-1.0
synthetic,provenance_only,none,0.814814825852712,0.022452534939779806,0.814814825852712,0.022452534939779806,0.0,0.0,0.0,0.0
synthetic,stratified,logit_residual,0.829629639784495,0.0409506211628444,0.8314814766248068,0.04659163524977249,0.0018518368403116863,3.6666666666666665,3.3333333333333335,0.3333333333333333
synthetic,stratified,nominal_residual_scores,0.829629639784495,0.0409506211628444,0.8351852099100748,0.04625924167531491,0.005555570125579834,7.333333333333333,6.333333333333333,1.0
synthetic,stratified,none,0.829629639784495,0.0409506211628444,0.829629639784495,0.0409506211628444,0.0,0.0,0.0,0.0
synthetic,trustworthiness_only,logit_residual,0.8111111124356588,0.03888890147209546,0.8203703761100769,0.04018988095559669,0.009259263674418131,4.333333333333333,2.6666666666666665,1.6666666666666667
synthetic,trustworthiness_only,nominal_residual_scores,0.8111111124356588,0.03888890147209546,0.8111111124356588,0.028867520342032812,0.0,6.0,6.0,0.0
synthetic,trustworthiness_only,none,0.8111111124356588,0.03888890147209546,0.8111111124356588,0.03888890147209546,0.0,0.0,0.0,0.0
wine,bias_only,logit_residual,0.9320987661679586,0.03854937124423096,0.9382716019948324,0.04660391612090738,0.006172835826873779,0.6666666666666666,0.3333333333333333,0.3333333333333333
wine,bias_only,nominal_residual_scores,0.9320987661679586,0.03854937124423096,0.9382716019948324,0.04660391612090738,0.006172835826873779,0.6666666666666666,0.3333333333333333,0.3333333333333333
wine,bias_only,none,0.9320987661679586,0.03854937124423096,0.9320987661679586,0.03854937124423096,0.0,0.0,0.0,0.0
wine,provenance_bias_coverage,logit_residual,0.9444444378217062,0.01851853728295172,0.9629629651705424,0.037037044763569074,0.018518527348836262,1.0,0.0,1.0
wine,provenance_bias_coverage,nominal_residual_scores,0.9444444378217062,0.01851853728295172,0.9629629651705424,0.018518537282951733,0.018518527348836262,1.0,0.0,1.0
wine,provenance_bias_coverage,none,0.9444444378217062,0.01851853728295172,0.9444444378217062,0.01851853728295172,0.0,0.0,0.0,0.0
wine,provenance_only,logit_residual,0.95061727364858,0.028287519946186224,0.9444444378217062,0.018518537282951705,-0.006172835826873779,0.0,0.3333333333333333,-0.3333333333333333
wine,provenance_only,nominal_residual_scores,0.95061727364858,0.028287519946186224,0.95061727364858,0.028287519946186224,0.0,0.3333333333333333,0.3333333333333333,0.0
wine,provenance_only,none,0.95061727364858,0.028287519946186224,0.95061727364858,0.028287519946186224,0.0,0.0,0.0,0.0
wine,stratified,logit_residual,0.95061727364858,0.028287519946186224,0.9567901094754537,0.038549380788605585,0.006172835826873779,0.6666666666666666,0.3333333333333333,0.3333333333333333
wine,stratified,nominal_residual_scores,0.95061727364858,0.028287519946186224,0.9567901094754537,0.038549380788605585,0.006172835826873779,1.0,0.6666666666666666,0.3333333333333333
wine,stratified,none,0.95061727364858,0.028287519946186224,0.95061727364858,0.028287519946186224,0.0,0.0,0.0,0.0
wine,trustworthiness_only,logit_residual,0.9444444378217062,0.01851853728295172,0.9506172935167948,0.02138336497061137,0.006172855695088704,0.3333333333333333,0.0,0.3333333333333333
wine,trustworthiness_only,nominal_residual_scores,0.9444444378217062,0.01851853728295172,0.9691358009974161,0.028287513442793066,0.02469136317571004,1.3333333333333333,0.0,1.3333333333333333
wine,trustworthiness_only,none,0.9444444378217062,0.01851853728295172,0.9444444378217062,0.01851853728295172,0.0,0.0,0.0,0.0
