dataset,seed,retrieval_acc,mean_conf_drop,counterfactual_flip_rate,top1_sufficiency_acc
breast_cancer,42,0.9707602339181286,0.011194423102495963,0.005847953216374269,0.9590643274853801
breast_cancer,43,0.9473684210526315,0.009724164043950755,0.017543859649122806,0.9298245614035088
breast_cancer,44,0.9766081871345029,0.00935370601408663,0.017543859649122806,0.9590643274853801
breast_cancer,45,0.9707602339181286,0.007967647056133426,0.005847953216374269,0.9473684210526315
breast_cancer,46,0.9707602339181286,0.006379431102708069,0.005847953216374269,0.9590643274853801
wine,42,0.9629629629629629,0.014054303919827496,0.0,0.9629629629629629
wine,43,0.9259259259259259,0.01320176433633875,0.037037037037037035,0.9259259259259259
wine,44,0.9629629629629629,0.013989076570228295,0.037037037037037035,0.9444444444444444
wine,45,0.9444444444444444,0.01736994860348878,0.037037037037037035,0.9444444444444444
wine,46,0.9074074074074074,0.0130357355983169,0.05555555555555555,0.9259259259259259
iris,42,0.9555555555555556,0.013845720556047228,0.044444444444444446,0.9333333333333333
iris,43,0.9777777777777777,0.01193065775765313,0.022222222222222223,0.9555555555555556
iris,44,0.9555555555555556,0.009585396448771159,0.022222222222222223,0.9555555555555556
iris,45,0.9333333333333333,0.012111740642123753,0.044444444444444446,0.8888888888888888
iris,46,0.9333333333333333,0.012965797715716891,0.044444444444444446,0.9333333333333333
synthetic,42,0.8333333333333334,0.04194307873646418,0.08333333333333333,0.8333333333333334
synthetic,43,0.8333333333333334,0.04087808032830556,0.11666666666666667,0.7944444444444444
synthetic,44,0.9111111111111111,0.04657722297641966,0.09444444444444444,0.8333333333333334
synthetic,45,0.8222222222222222,0.04140619039535522,0.08888888888888889,0.7611111111111111
synthetic,46,0.8277777777777777,0.043032030181752313,0.08333333333333333,0.7611111111111111
digits,42,0.9722222222222222,0.01752513734002908,0.018518518518518517,0.9722222222222222
digits,43,0.9740740740740741,0.01607640015858191,0.011111111111111112,0.975925925925926
digits,44,0.9685185185185186,0.01727789811514042,0.011111111111111112,0.9703703703703703
digits,45,0.9666666666666667,0.0203047145847921,0.025925925925925925,0.9648148148148148
digits,46,0.975925925925926,0.017978196729112553,0.014814814814814815,0.9777777777777777
