dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss
synthetic,provenance_bias_coverage,none,42,0.5,420,210,0.8333333134651184,0.8222222328186035,0.8222222328186035,0.0,0.8143371212121212,0.8143371212121212,0.0,0.1280182808637619,0.1280182808637619,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,43,0.5,420,210,0.8333333134651184,0.8055555820465088,0.8055555820465088,0.0,0.8056117409278967,0.8056117409278967,0.0,0.1018708881404665,0.1018708881404665,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,44,0.5,420,210,0.9111111164093018,0.8500000238418579,0.8500000238418579,0.0,0.8496035173483744,0.8496035173483744,0.0,0.17047024915615716,0.17047024915615716,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,45,0.5,420,210,0.8222222328186035,0.7833333611488342,0.7833333611488342,0.0,0.7832356688688171,0.7832356688688171,0.0,0.11727340006166036,0.11727340006166036,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,46,0.5,420,210,0.8277778029441833,0.8444444537162781,0.8444444537162781,0.0,0.8435674605804979,0.8435674605804979,0.0,0.18795901222361458,0.18795901222361458,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,nominal_residual_scores,42,0.5,420,210,0.8333333134651184,0.8222222328186035,0.8055555820465088,-0.016666650772094727,0.8143371212121212,0.7994944600100639,-0.01484266120205735,0.1280182808637619,0.2493461246291796,13,5,8,-3,0.5,1.0,geometric,True,0.775001734495163
synthetic,provenance_bias_coverage,nominal_residual_scores,43,0.5,420,210,0.8333333134651184,0.8055555820465088,0.8277778029441833,0.02222222089767456,0.8056117409278967,0.8263994885137732,0.020787747585876537,0.1018708881404665,0.2796517761217223,20,12,8,4,0.5,1.0,geometric,True,0.7118918299674988
synthetic,provenance_bias_coverage,nominal_residual_scores,44,0.5,420,210,0.9111111164093018,0.8500000238418579,0.855555534362793,0.005555510520935059,0.8496035173483744,0.8555156849993807,0.005912167651006328,0.17047024915615716,0.3153323825862673,15,8,7,1,0.5,1.0,geometric,True,0.7821844518184662
synthetic,provenance_bias_coverage,nominal_residual_scores,45,0.5,420,210,0.8222222328186035,0.7833333611488342,0.8055555820465088,0.02222222089767456,0.7832356688688171,0.8051054933461845,0.021869824477367406,0.11727340006166036,0.2882620109452142,26,14,10,4,0.5,1.0,geometric,True,0.7993876934051514
synthetic,provenance_bias_coverage,nominal_residual_scores,46,0.5,420,210,0.8277778029441833,0.8444444537162781,0.7833333611488342,-0.06111109256744385,0.8435674605804979,0.7826107766495248,-0.06095668393097309,0.18795901222361458,0.27491151806381015,23,4,15,-11,0.5,1.0,geometric,True,0.8498349487781525
