dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss,ablation_type,ablation_var
synthetic,provenance_bias_coverage,none,42,0.5,420,210,0.8333333134651184,0.8222222328186035,0.8222222328186035,0.0,0.8143371212121212,0.8143371212121212,0.0,0.1280182808637619,0.1280182808637619,0,0,0,0,0.5,1.0,geometric,True,0.0,trust_formulation,geometric
synthetic,provenance_bias_coverage,none,43,0.5,420,210,0.8333333134651184,0.8055555820465088,0.8055555820465088,0.0,0.8056117409278967,0.8056117409278967,0.0,0.1018708881404665,0.1018708881404665,0,0,0,0,0.5,1.0,geometric,True,0.0,trust_formulation,geometric
synthetic,provenance_bias_coverage,none,44,0.5,420,210,0.9111111164093018,0.8500000238418579,0.8500000238418579,0.0,0.8496035173483744,0.8496035173483744,0.0,0.17047024915615716,0.17047024915615716,0,0,0,0,0.5,1.0,geometric,True,0.0,trust_formulation,geometric
synthetic,provenance_bias_coverage,none,45,0.5,420,210,0.8222222328186035,0.7833333611488342,0.7833333611488342,0.0,0.7832356688688171,0.7832356688688171,0.0,0.11727340006166036,0.11727340006166036,0,0,0,0,0.5,1.0,geometric,True,0.0,trust_formulation,geometric
synthetic,provenance_bias_coverage,none,46,0.5,420,210,0.8277778029441833,0.8444444537162781,0.8444444537162781,0.0,0.8435674605804979,0.8435674605804979,0.0,0.18795901222361458,0.18795901222361458,0,0,0,0,0.5,1.0,geometric,True,0.0,trust_formulation,geometric
synthetic,provenance_bias_coverage,none,42,0.5,420,210,0.8333333134651184,0.8222222328186035,0.8222222328186035,0.0,0.8154231389525507,0.8154231389525507,0.0,0.12987766828801897,0.12987766828801897,0,0,0,0,0.5,1.0,arithmetic,True,0.0,trust_formulation,arithmetic
synthetic,provenance_bias_coverage,none,43,0.5,420,210,0.8333333134651184,0.8055555820465088,0.8055555820465088,0.0,0.8056117409278967,0.8056117409278967,0.0,0.1018708881404665,0.1018708881404665,0,0,0,0,0.5,1.0,arithmetic,True,0.0,trust_formulation,arithmetic
synthetic,provenance_bias_coverage,none,44,0.5,420,210,0.9111111164093018,0.8500000238418579,0.8500000238418579,0.0,0.8496035173483744,0.8496035173483744,0.0,0.17047024915615716,0.17047024915615716,0,0,0,0,0.5,1.0,arithmetic,True,0.0,trust_formulation,arithmetic
synthetic,provenance_bias_coverage,none,45,0.5,420,210,0.8222222328186035,0.7833333611488342,0.7833333611488342,0.0,0.7832356688688171,0.7832356688688171,0.0,0.11727340006166036,0.11727340006166036,0,0,0,0,0.5,1.0,arithmetic,True,0.0,trust_formulation,arithmetic
synthetic,provenance_bias_coverage,none,46,0.5,420,210,0.8277778029441833,0.8333333134651184,0.8333333134651184,0.0,0.8315347456382987,0.8315347456382987,0.0,0.18162728415595158,0.18162728415595158,0,0,0,0,0.5,1.0,arithmetic,True,0.0,trust_formulation,arithmetic
