global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
2000,4,2000,269.1691589355469,-0.031222056597471237,-0.020266160368919373,269.20037841796875,265.352294921875,0.00026863813400268555,-0.06453583389520645,True,1.0955897569656372,1.0955897569656372,0.0,0.0,0.0,0.0,-1.0,-16.28354835510254,-0.018444539979100227,-16.229291915893555,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
4000,4,2000,268.5373229980469,-0.03249785304069519,-0.021531967446208,268.56982421875,265.1148376464844,-0.0040634870529174805,-0.1754801720380783,True,1.096588373184204,1.096588373184204,0.0,0.0,0.0,0.0,-1.0,-16.264387130737305,-0.01842145249247551,-16.3327579498291,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
6000,4,2000,268.0170593261719,-0.030836638063192368,-0.01991274021565914,268.0478820800781,263.9725646972656,-0.011241316795349121,-0.31298190355300903,True,1.0923898220062256,1.0923898220062256,0.0,0.0,0.0,0.0,-1.0,-16.249977111816406,-0.018002919852733612,-16.436304092407227,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
8000,4,2000,267.3641052246094,-0.030982565134763718,-0.020053379237651825,267.39508056640625,263.5082702636719,-0.009499311447143555,-0.4243258833885193,True,1.0929186344146729,1.0929186344146729,0.0,0.0,0.0,0.0,-1.0,-16.228593826293945,-0.018301688134670258,-16.53232192993164,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
10000,4,2000,266.7727966308594,-0.03250399976968765,-0.021558847278356552,266.8052978515625,263.1470031738281,-0.0154266357421875,-0.5184992551803589,True,1.0945154428482056,1.0945154428482056,0.0,0.0,0.0,0.0,-1.0,-16.208389282226562,-0.018403830006718636,-16.613113403320312,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
12000,4,2000,266.15277099609375,-0.03391578048467636,-0.022991139441728592,266.1866760253906,262.234375,-0.053253889083862305,-0.6693080067634583,True,1.0924642086029053,1.0924642086029053,0.0,0.0,0.0,0.0,-1.0,-16.188053131103516,-0.018348582088947296,-16.733184814453125,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
14000,4,2000,265.6363525390625,-0.030742323026061058,-0.019810697063803673,265.6670837402344,261.8110656738281,-0.028954267501831055,-0.7620741724967957,True,1.0931626558303833,1.0931626558303833,0.0,0.0,0.0,0.0,-1.0,-16.173879623413086,-0.018564771860837936,-16.815460205078125,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
16000,4,2000,264.8714599609375,-0.03263109177350998,-0.021728673949837685,264.9040832519531,260.6587829589844,-0.05798602104187012,-0.9446277618408203,True,1.0902416706085205,1.0902416706085205,0.0,0.0,0.0,0.0,-1.0,-16.147855758666992,-0.017524663358926773,-16.95895767211914,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
18000,4,2000,264.5395812988281,-0.026820119470357895,-0.01587190292775631,264.56640625,260.6017761230469,-0.02993917465209961,-0.9740974307060242,True,1.094821810722351,1.094821810722351,0.0,0.0,0.0,0.0,-1.0,-16.140304565429688,-0.01788758859038353,-16.990493774414062,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
19871,4,1871,262.8162536621094,-0.02768533118069172,-0.016789643093943596,262.84393310546875,258.26885986328125,-0.1756840944290161,-1.2374213933944702,True,1.089568853378296,1.089568853378296,0.0,0.0,0.0,0.0,-0.9994655847549438,-16.065486907958984,-0.016105350106954575,-17.156288146972656,online_value_model,0,0,0,0,0,2,0,0,0,0,0,-467.5,1,4,mlp,,mlp,,,,,
21871,4,2000,262.8166198730469,-0.034404151141643524,-0.02350476011633873,262.85101318359375,257.8398132324219,-0.1491931676864624,-1.443976640701294,True,1.0899393558502197,1.0899393558502197,0.0,0.0,0.0,0.0,-1.0,-16.081220626831055,-0.015922585502266884,-17.365751266479492,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
23820,4,1949,261.105712890625,-0.02938554808497429,-0.01848875731229782,261.1351013183594,255.78346252441406,-0.1285330057144165,-1.6505082845687866,True,1.0896791219711304,1.0896791219711304,0.0,0.0,0.0,0.0,-0.9994869232177734,-16.010501861572266,-0.01542691420763731,-17.489826202392578,online_value_model,0,0,0,0,0,2,0,0,0,0,0,-487.0,1,4,mlp,,mlp,,,,,
25820,4,2000,261.56610107421875,-0.03775573894381523,-0.026829350739717484,261.6038513183594,256.4876708984375,-0.1778658628463745,-1.6811548471450806,True,1.0926389694213867,1.0926389694213867,0.0,0.0,0.0,0.0,-1.0,-16.037429809570312,-0.016804227605462074,-17.555219650268555,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
27820,4,2000,261.3778381347656,-0.032968781888484955,-0.02204233594238758,261.4107971191406,256.10406494140625,-0.15475893020629883,-1.8364932537078857,True,1.0926446914672852,1.0926446914672852,0.0,0.0,0.0,0.0,-1.0,-16.049449920654297,-0.015674898400902748,-17.71722412109375,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
29801,4,1981,260.1077575683594,-0.03119567781686783,-0.020266786217689514,260.1389465332031,254.91876220703125,-0.2433692216873169,-1.921177864074707,True,1.0928890705108643,1.0928890705108643,0.0,0.0,0.0,0.0,-0.999495267868042,-15.976540565490723,-0.017130527645349503,-17.7297420501709,online_value_model,0,0,0,0,0,5,0,0,0,0,0,-495.0,1,4,mlp,,mlp,,,,,
