global_step,loss,mean_q_value,epsilon
20000,0.008344028145074844,-0.00252218684181571,0.81
20004,0.00020123389549553394,0.003251196350902319,0.8099620000000001
20008,0.007943594828248024,0.007348945364356041,0.8099240000000001
20012,0.0038307325448840857,0.009157905355095863,0.809886
20016,0.011599050834774971,0.011854751966893673,0.809848
20020,0.019210051745176315,0.010114099830389023,0.80981
20024,0.00019987774430774152,0.0047835237346589565,0.809772
20028,0.004004920367151499,0.005499981809407473,0.8097340000000001
20032,0.007737965323030949,0.004387120716273785,0.809696
20036,0.011699764057993889,0.0037449407391250134,0.809658
20040,0.015139853581786156,0.0036672838032245636,0.80962
20044,0.015246954746544361,0.0028792053926736116,0.809582
20048,0.007697806693613529,-9.522616164758801e-05,0.809544
20052,0.011529591865837574,0.00023223375319503248,0.8095060000000001
20056,0.011593534611165524,-0.0012985758949071169,0.8094680000000001
20060,0.011544369161128998,-0.0036017890088260174,0.80943
20064,0.007647237274795771,-0.005076033994555473,0.809392
20068,0.003992076031863689,-0.004994267597794533,0.809354
20072,0.0003112117701675743,-0.004923943430185318,0.809316
20076,0.02280750498175621,-0.004024960566312075,0.809278
20080,0.003970003686845303,-0.002665208652615547,0.80924
20084,0.015293342992663383,-0.002625349909067154,0.809202
20088,0.011407686397433281,-0.0020537201780825853,0.809164
20092,0.004039587918668985,-0.0025689764879643917,0.809126
20096,0.0188814215362072,-0.0017738528549671173,0.809088
20100,0.030256908386945724,-0.0006597611354663968,0.80905
20104,0.0304102785885334,-0.0021536604035645723,0.8090120000000001
20108,0.011619482189416885,-0.0026976806111633778,0.8089740000000001
20112,0.026417981833219528,-0.00439508818089962,0.808936
20116,0.019055448472499847,-0.004886666778475046,0.808898
20120,0.007657499052584171,-0.005905999802052975,0.80886
20124,0.011477140709757805,-0.0067855617962777615,0.808822
20128,0.00038311438402161,-0.008409865200519562,0.8087840000000001
20132,0.01886564865708351,-0.007963120937347412,0.808746
20136,0.011525238864123821,-0.008051741868257523,0.808708
20140,0.00038605916779488325,-0.008544042706489563,0.80867
20144,0.008015504106879234,-0.00897575356066227,0.808632
20148,0.007667019497603178,-0.008364072069525719,0.808594
20152,0.007760630454868078,-0.0072319526225328445,0.808556
20156,0.008007235825061798,-0.007632130291312933,0.8085180000000001
20160,0.015435665845870972,-0.007001370191574097,0.8084800000000001
20164,0.007758147548884153,-0.006687752436846495,0.808442
20168,0.015333252027630806,-0.0072388071566820145,0.808404
20172,0.0077472832053899765,-0.006503178272396326,0.808366
20176,0.004065314307808876,-0.006976637989282608,0.808328
20180,0.004037538543343544,-0.006060722284018993,0.8082900000000001
20184,0.019060317426919937,-0.006123354658484459,0.808252
20188,0.01144422683864832,-0.0059649646282196045,0.808214
20192,0.015148172155022621,-0.005974448751658201,0.808176
20196,0.018873900175094604,-0.005887825507670641,0.808138
20200,0.015043971128761768,-0.006672908551990986,0.8081
20204,0.007796953897923231,-0.00622190348803997,0.8080620000000001
20208,0.004094775766134262,-0.006697711534798145,0.8080240000000001
20212,0.007722100708633661,-0.007902240380644798,0.8079860000000001
20216,0.011651241220533848,-0.0051285456866025925,0.807948
20220,0.011536759324371815,-0.0059417844749987125,0.80791
20224,0.0077633848413825035,-0.004710960201919079,0.807872
20228,0.011338749900460243,-0.004276215564459562,0.807834
20232,0.003988160751760006,-0.004569370765239,0.807796
20236,0.01155451126396656,-0.0033511100336909294,0.807758
20240,0.026619160547852516,-0.0032778545282781124,0.80772
20244,0.011401744559407234,-0.0030142287723720074,0.807682
20248,0.0039654322899878025,-0.002101640682667494,0.807644
20252,0.011479267850518227,-0.0024125310592353344,0.807606
20256,0.007832745090126991,-0.002441410208120942,0.8075680000000001
20260,0.01161341555416584,-0.003306847531348467,0.8075300000000001
20264,0.003924521617591381,-0.0018751882016658783,0.807492
20268,0.004035361111164093,-0.0033017201349139214,0.807454
20272,0.007738765794783831,-0.0032331524416804314,0.807416
20276,0.011431469582021236,-0.0017360154306516051,0.807378
20280,0.01138321217149496,-0.0013981566298753023,0.8073400000000001
20284,0.007771489210426807,-0.001870983513072133,0.807302
20288,0.011503989808261395,-0.002369696507230401,0.807264
20292,0.007674140390008688,-0.0016397354193031788,0.807226
20296,0.011439171619713306,-0.002272350713610649,0.807188
20300,0.007694731466472149,-0.002159144263714552,0.80715
20304,0.015242695808410645,-0.001760966842994094,0.807112
20308,0.01887938752770424,-0.0014134848024696112,0.8070740000000001
20312,0.011464858427643776,-0.0019081319915130734,0.8070360000000001
20316,0.01522777695208788,-0.0012526260688900948,0.806998
20320,0.003943584393709898,-0.0019719782285392284,0.80696
20324,0.018997706472873688,-0.002646569162607193,0.806922
20328,0.0039626797661185265,-0.0026125204749405384,0.806884
20332,0.007782616652548313,-0.0020553881768137217,0.8068460000000001
20336,0.011441774666309357,-0.0027368804439902306,0.806808
20340,0.00025943981017917395,-0.003693482605740428,0.80677
20344,0.019196219742298126,-0.003459698986262083,0.806732
20348,0.0002476485096849501,-0.0030376650393009186,0.806694
20352,0.01924872025847435,-0.002709583379328251,0.806656
20356,0.015212076716125011,-0.003004067577421665,0.8066180000000001
20360,0.003978128544986248,-0.0023303013294935226,0.8065800000000001
20364,0.015116657130420208,-0.0026085935533046722,0.8065420000000001
20368,0.01906452514231205,-0.00244854181073606,0.806504
20372,0.026304911822080612,-0.002970608649775386,0.806466
20376,0.000253718753810972,-0.0033682226203382015,0.806428
20380,0.007730958983302116,-0.0029903315007686615,0.80639
20384,0.007689224556088448,-0.003111806232482195,0.806352
20388,0.003981270827353001,-0.004008805379271507,0.806314
20392,0.004014633595943451,-0.0028999941423535347,0.806276
20396,0.015313250944018364,-0.0032911901362240314,0.806238
20400,0.0040774354711174965,-0.00319695589132607,0.8062
20404,0.011307710781693459,-0.0018429418560117483,0.806162
20408,0.004006030969321728,-0.0031234612688422203,0.8061240000000001
20412,0.011459860019385815,-0.002540762536227703,0.8060860000000001
20416,0.01535741239786148,-0.002202301751822233,0.806048
20420,0.01514153927564621,-0.0018928598146885633,0.80601
20424,0.011663060635328293,-0.0028498442843556404,0.805972
20428,0.015416081994771957,-0.001718383515253663,0.805934
20432,0.026339223608374596,-0.0013941254001110792,0.8058960000000001
20436,0.0153362350538373,-0.0014875398483127356,0.805858
20440,0.004026644863188267,-0.0031824540346860886,0.80582
20444,0.00024172227131202817,-0.0023357034660875797,0.805782
20448,0.011525021865963936,-0.0034021432511508465,0.805744
20452,0.011461259797215462,-0.0028185215778648853,0.805706
20456,0.011358138173818588,-0.0024788749869912863,0.805668
20460,0.022680623456835747,-0.0030732504092156887,0.8056300000000001
20464,0.015050141140818596,-0.0034748453181236982,0.8055920000000001
20468,0.007685330230742693,-0.003821606282144785,0.805554
20472,0.011376013979315758,-0.003517703851684928,0.805516
20476,0.011501751840114594,-0.005001168232411146,0.805478
20480,0.019008904695510864,-0.003754433011636138,0.80544
20484,0.015268229879438877,-0.0039487662725150585,0.8054020000000001
20488,0.026413988322019577,-0.0052155544981360435,0.805364
20492,0.019021298736333847,-0.004783701151609421,0.805326
20496,0.018971441313624382,-0.005042796954512596,0.805288
20500,0.007681536488234997,-0.0068944524973630905,0.80525
20504,0.0040382943116128445,-0.006837917026132345,0.805212
20508,0.004105592146515846,-0.007784072309732437,0.8051740000000001
20512,0.004094274248927832,-0.007787637412548065,0.8051360000000001
20516,0.0003820943820755929,-0.008292736485600471,0.8050980000000001
20520,0.007821566425263882,-0.008172385394573212,0.80506
20524,0.0040243095718324184,-0.006794987246394157,0.805022
20528,0.003969607409089804,-0.006218499504029751,0.804984
20532,0.030019743368029594,-0.0055291056632995605,0.804946
20536,0.015145638957619667,-0.006412595510482788,0.804908
20540,0.003987256903201342,-0.005647093523293734,0.80487
20544,0.007786008063703775,-0.005260082893073559,0.804832
20548,0.007890206761658192,-0.004689265973865986,0.804794
20552,0.011519107036292553,-0.00460163364186883,0.804756
20556,0.007804010529071093,-0.005231618415564299,0.804718
20560,0.007631109096109867,-0.004139565862715244,0.8046800000000001
20564,0.015142182819545269,-0.00438696751371026,0.8046420000000001
20568,0.007737183943390846,-0.004190261475741863,0.804604
20572,0.01877310685813427,-0.002646980807185173,0.804566
20576,0.011277355253696442,-0.004101956728845835,0.804528
20580,0.004030770156532526,-0.0034667060244828463,0.80449
20584,0.029727786779403687,-0.0024607658851891756,0.8044520000000001
20588,0.004097165539860725,-0.0031735466327518225,0.804414
20592,0.015403646975755692,-0.0024823795538395643,0.804376
20596,0.015192072838544846,-0.001630915328860283,0.804338
20600,0.0002838543150573969,-0.003244150197133422,0.8043
20604,0.011564928106963634,-0.004865130875259638,0.804262
20608,0.018974799662828445,-0.003044726327061653,0.804224
20612,0.015293827280402184,-0.002723507583141327,0.8041860000000001
20616,0.01153276115655899,-0.00467911921441555,0.8041480000000001
20620,0.003928631544113159,-0.0032632590737193823,0.80411
20624,0.011286012828350067,-0.0030776234343647957,0.804072
20628,0.007668373174965382,-0.004063196945935488,0.804034
20632,0.015245665796101093,-0.0033309930004179478,0.803996
20636,0.011438761837780476,-0.0037251124158501625,0.8039580000000001
20640,0.011585276573896408,-0.004923575557768345,0.80392
20644,0.0076779210940003395,-0.004519648849964142,0.803882
20648,0.011408105492591858,-0.004795855842530727,0.803844
20652,0.01142495684325695,-0.005209190770983696,0.803806
20656,0.026305265724658966,-0.003999536391347647,0.803768
20660,0.00784328207373619,-0.003541202750056982,0.80373
20664,0.022720428183674812,-0.004577099345624447,0.8036920000000001
20668,0.01141174603253603,-0.004673619754612446,0.8036540000000001
20672,0.01912800967693329,-0.005405648611485958,0.803616
20676,0.0188453271985054,-0.005512182135134935,0.803578
20680,0.011832154355943203,-0.006166469305753708,0.80354
20684,0.015306200832128525,-0.007550598122179508,0.803502
20688,0.01919054426252842,-0.008269967511296272,0.803464
20692,0.026213388890028,-0.0077346013858914375,0.803426
20696,0.01495746523141861,-0.008437387645244598,0.803388
20700,0.007900238037109375,-0.010500356554985046,0.80335
20704,0.011646507307887077,-0.00999087281525135,0.803312
20708,0.008010994642972946,-0.010716676712036133,0.803274
20712,0.019179200753569603,-0.010867772623896599,0.8032360000000001
20716,0.0005261996993795037,-0.010700993239879608,0.8031980000000001
