global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
2000,4,2000,268.66326904296875,-0.029750831425189972,-0.01878608576953411,268.6930236816406,265.3319396972656,-0.0007386207580566406,-0.15268658101558685,True,1.096474528312683,1.096474528312683,0.0,0.0,0.0,0.0,-1.0,-16.268997192382812,-0.018298303708434105,-16.317846298217773,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
4000,4,2000,268.1409606933594,-0.030804088339209557,-0.019831769168376923,268.1717529296875,265.3267517089844,-0.0012651681900024414,-0.23262827098369598,True,1.0972319841384888,1.0972319841384888,0.0,0.0,0.0,0.0,-1.0,-16.252309799194336,-0.018406692892313004,-16.397106170654297,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
6000,4,2000,267.6500549316406,-0.029991745948791504,-0.019023770466446877,267.6800537109375,264.7752380371094,-0.01214742660522461,-0.328013151884079,True,1.0967975854873657,1.0967975854873657,0.0,0.0,0.0,0.0,-1.0,-16.236125946044922,-0.018296979367733,-16.473772048950195,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
8000,4,2000,267.2186279296875,-0.030642587691545486,-0.019674165174365044,267.249267578125,264.0770568847656,-0.027889132499694824,-0.4438855051994324,True,1.0968424081802368,1.0968424081802368,0.0,0.0,0.0,0.0,-1.0,-16.224132537841797,-0.018291501328349113,-16.568960189819336,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
10000,4,2000,266.78997802734375,-0.029471684247255325,-0.018501317128539085,266.8194580078125,263.8816223144531,-0.009071111679077148,-0.5085843801498413,True,1.0970367193222046,1.0970367193222046,0.0,0.0,0.0,0.0,-1.0,-16.21176528930664,-0.018498696386814117,-16.629192352294922,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
12000,4,2000,265.96893310546875,-0.03266057372093201,-0.02169073186814785,266.0015869140625,262.4908142089844,-0.03853011131286621,-0.6928741335868835,True,1.0969841480255127,1.0969841480255127,0.0,0.0,0.0,0.0,-1.0,-16.182126998901367,-0.018318932503461838,-16.765090942382812,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
14000,4,2000,265.5908508300781,-0.03012351132929325,-0.01915150135755539,265.6209716796875,262.1651306152344,-0.035329461097717285,-0.7722427248954773,True,1.0972009897232056,1.0972009897232056,0.0,0.0,0.0,0.0,-1.0,-16.172460556030273,-0.018487147986888885,-16.83661651611328,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
16000,4,2000,264.8883056640625,-0.02907697483897209,-0.01810535602271557,264.9173889160156,261.01690673828125,-0.051070451736450195,-0.957561194896698,True,1.097161889076233,1.097161889076233,0.0,0.0,0.0,0.0,-1.0,-16.151578903198242,-0.017156468704342842,-16.98660659790039,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
18000,4,2000,264.299072265625,-0.031631216406822205,-0.0206582210958004,264.3306884765625,260.47125244140625,-0.01477038860321045,-1.036960244178772,True,1.0972996950149536,1.0972996950149536,0.0,0.0,0.0,0.0,-1.0,-16.134029388427734,-0.01794508472084999,-17.050457000732422,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
20000,4,2000,263.87017822265625,-0.03055683895945549,-0.019583027809858322,263.9007263183594,260.0929870605469,-0.04224681854248047,-1.1068850755691528,True,1.0973812341690063,1.0973812341690063,0.0,0.0,0.0,0.0,-1.0,-16.1157283782959,-0.017903385683894157,-17.103164672851562,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
22000,4,2000,262.76519775390625,-0.032377198338508606,-0.021405363455414772,262.7975769042969,258.21331787109375,-0.053797364234924316,-1.4078775644302368,True,1.097183346748352,1.097183346748352,0.0,0.0,0.0,0.0,-1.0,-16.083877563476562,-0.016657227650284767,-17.34718894958496,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
24000,4,2000,263.18121337890625,-0.03256048262119293,-0.021588871255517006,263.2137756347656,259.0766906738281,-0.08641481399536133,-1.3592442274093628,True,1.0971609354019165,1.0971609354019165,0.0,0.0,0.0,0.0,-1.0,-16.10309410095215,-0.017932996153831482,-17.331945419311523,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
26000,4,2000,262.6499938964844,-0.032263465225696564,-0.021296169608831406,262.6822509765625,258.774658203125,-0.062177181243896484,-1.3552544116973877,True,1.0967295169830322,1.0967295169830322,0.0,0.0,0.0,0.0,-1.0,-16.079341888427734,-0.0180851761251688,-17.31160545349121,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
28000,4,2000,261.8349914550781,-0.030676577240228653,-0.019718002527952194,261.86566162109375,257.4340515136719,-0.08558905124664307,-1.6101858615875244,True,1.0958575010299683,1.0958575010299683,0.0,0.0,0.0,0.0,-1.0,-16.057300567626953,-0.016310017555952072,-17.527400970458984,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
