global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
516,critic,capacity_insert,25,0,491,,-0.0010770034277811646,8.044961577979848e-05,0.0019315923564136028
603,critic,capacity_insert,96,0,482,,-0.0004999999073334038,0.000249699893174693,0.0021767618600279093
736,critic,capacity_insert,132,0,483,,0.0,0.0003615727473516017,0.002676761243492365
870,actor,capacity_insert,50,0,496,"[251, 245]",-0.001567617291584611,7.113512401701882e-05,0.002574893878772855
870,critic,capacity_insert,105,12,500,,0.0,0.0004615941143129021,0.0026770387776196003
1010,actor,capacity_insert,100,0,486,"[229, 257]",-0.0005435494240373373,0.0002663219056557864,0.0024789527524262667
1010,critic,capacity_insert,76,64,500,,0.0,0.00047184573486447334,0.003177038626745343
1010,actor,scheduled_batch_boundary,25,0,461,"[216, 245]",-0.0004994836053811014,0.00030816669459454715,0.0024789527524262667
1086,critic,capacity_insert,83,0,493,,0.0,0.0005436461651697755,0.003677038475871086
1155,actor,capacity_insert,25,0,477,"[219, 258]",-0.0009490128140896559,0.00030397437512874603,0.003041170071810484
1155,critic,capacity_insert,55,7,500,,0.0,0.0005936502129770815,0.004177038557827473
1234,actor,capacity_insert,25,0,486,"[231, 255]",-0.0008430345333181322,0.0003394143714103848,0.0031155780889093876
1234,critic,capacity_insert,47,32,500,,0.0,0.0006420842255465686,0.004677037708461285
1300,actor,capacity_insert,25,0,478,"[224, 254]",-0.0006891579832881689,0.0003972040140070021,0.003460545791313052
1300,critic,capacity_insert,62,4,500,,0.0,0.0007174249039962888,0.00453235162422061
1396,actor,capacity_insert,50,0,476,"[218, 258]",-0.0004994249320589006,0.00046624572132714093,0.003934711683541536
1396,critic,capacity_insert,78,18,500,,0.0,0.0007730088545940816,0.0040810443460941315
1525,actor,capacity_insert,75,0,489,"[233, 256]",-0.0004949235008098185,0.0005486088339239359,0.0038637768011540174
1525,critic,capacity_insert,93,36,500,,0.0,0.0008058501989580691,0.004532352089881897
1590,actor,capacity_insert,25,0,491,"[236, 255]",-0.0004451866843737662,0.0005888523883186281,0.0043629128485918045
1590,critic,capacity_insert,51,14,500,,0.0,0.0008456163923256099,0.0050323521718382835
1686,actor,capacity_insert,25,0,498,"[244, 254]",-0.000499557179864496,0.0005846665590070188,0.0038643134757876396
