global_step,episode,episode_return,episode_length,exploration_noise,critic_loss,actor_loss,mean_q1_value
75,1,-159.65906764370274,75,0.1,,,
277,2,-241.76754785452982,202,0.1,,,
402,3,-505.40465785745516,125,0.1,,,
540,4,-64.65643055935553,138,0.1,,,
673,5,-223.8125318207565,133,0.1,,,
875,6,-365.37484885501,202,0.1,,,
980,7,-280.6617432504899,105,0.1,,,
1087,8,-287.433941364298,107,0.1,181.02029418945312,1.7663025856018066,-2.1837918758392334
1342,9,-448.7955813306859,255,0.1,235.43411254882812,2.1508595943450928,-3.7555489540100098
1494,10,-339.85302805238655,152,0.1,70.09732055664062,2.506807565689087,-4.063756942749023
2494,11,-109.19104359976052,1000,0.1,2.907649040222168,0.8964481353759766,-2.300642967224121
3494,12,-165.0463795400035,1000,0.1,8.620647430419922,0.72592693567276,-2.6744468212127686
3976,13,-326.01581162534103,482,0.1,20.431257247924805,1.914680004119873,-3.951840400695801
4332,14,-191.2520833707031,356,0.1,4.991433143615723,2.4218709468841553,-4.100158214569092
4628,15,-54.18892238703417,296,0.1,10.215018272399902,-1.5131150484085083,-0.13950087130069733
4913,16,-129.5914243427533,285,0.1,34.9608154296875,-1.7082571983337402,-1.3702151775360107
5191,17,-151.11036202315267,278,0.1,2.7491326332092285,0.4281840920448303,-0.2910492420196533
5422,18,-146.38403905201184,231,0.1,25.895553588867188,1.7160524129867554,-3.457491874694824
5506,19,-474.9572988527447,84,0.1,2.8385801315307617,0.8769441246986389,-2.578923225402832
5835,20,-142.60523649710382,329,0.1,23.58069610595703,-1.1363625526428223,-1.539704442024231
6011,21,-16.710025515251303,176,0.1,46.25254440307617,-1.1156208515167236,-2.2657201290130615
6152,22,1.7476297544190373,141,0.1,14.006630897521973,1.3792872428894043,-3.448169708251953
6369,23,-103.55958051548545,217,0.1,7.830199241638184,-0.28004884719848633,-1.7052644491195679
6616,24,39.449190327487116,247,0.1,33.417152404785156,-0.641292154788971,-1.3105238676071167
6757,25,-12.408693067630878,141,0.1,6.346663951873779,-0.8440389037132263,-0.7038805484771729
7026,26,-97.64155135732187,269,0.1,43.46040344238281,2.880145788192749,-4.902010440826416
7225,27,-18.57945038186371,199,0.1,8.555034637451172,-0.5402379035949707,-1.3630467653274536
7448,28,-53.65061502241948,223,0.1,6.120968818664551,0.8550233840942383,-2.611518621444702
7667,29,-55.48524606815826,219,0.1,101.01136779785156,0.18179649114608765,-0.26179611682891846
7852,30,-92.13221918987043,185,0.1,11.652929306030273,-1.0169191360473633,-0.9569013118743896
8049,31,-115.48298675683263,197,0.1,9.919133186340332,0.26608705520629883,-3.1044766902923584
8260,32,-173.51500388835856,211,0.1,66.47891235351562,0.026613712310791016,-1.9605971574783325
8496,33,-147.0030192093172,236,0.1,61.121482849121094,-1.7856591939926147,0.4527323842048645
8965,34,-162.6239203456057,469,0.1,76.2602310180664,0.7451969385147095,-1.557481050491333
9146,35,-34.31629479272402,181,0.1,36.330081939697266,3.5437231063842773,-5.250168323516846
9306,36,-115.99472598976155,160,0.1,7.031267166137695,-1.5159785747528076,-0.09771940112113953
9720,37,-99.3345965072368,414,0.1,9.061548233032227,1.7304723262786865,-3.4650821685791016
10086,38,-129.14036887523525,366,0.1,13.346847534179688,0.4650396704673767,-2.4440555572509766
10438,39,4.34467014885189,352,0.1,4.2293925285339355,1.6812055110931396,-3.5668885707855225
10743,40,-66.89003779602658,305,0.1,5.252962589263916,1.216294765472412,-1.3759113550186157
11156,41,205.85876731928505,413,0.1,6.365232467651367,2.4352269172668457,-4.215733528137207
11554,42,-162.98552296264023,398,0.1,17.321937561035156,5.0979790687561035,-6.368974208831787
12231,43,142.13552107263084,677,0.1,196.28512573242188,2.4877371788024902,-5.3523359298706055
12691,44,-130.37829670946425,460,0.1,42.45796203613281,2.6385979652404785,-4.442520618438721
12938,45,-150.2166241724256,247,0.1,6.607366561889648,3.408682107925415,-4.921931743621826
13801,46,145.00394316047448,863,0.1,8.886039733886719,1.3200263977050781,-8.186614990234375
13938,47,-183.9778292568621,137,0.1,6.045947551727295,6.396119117736816,-7.6810221672058105
14933,48,61.03484186393464,995,0.1,259.409912109375,8.139348983764648,-9.4229736328125
15291,49,-276.3135136523451,358,0.1,198.55014038085938,6.542240619659424,-8.916823387145996
15746,50,-203.0727999677014,455,0.1,6.402955055236816,9.584854125976562,-10.979613304138184
15926,51,-58.28359698718863,180,0.1,18.624711990356445,11.30170726776123,-12.636144638061523
16101,52,-255.39395058562715,175,0.1,9.250377655029297,8.743532180786133,-10.360974311828613
16241,53,-121.25172173889221,140,0.1,5.681982040405273,5.954139709472656,-10.029043197631836
16455,54,-156.30283065665205,214,0.1,11.289532661437988,5.726992130279541,-8.876977920532227
16603,55,-189.76315424744786,148,0.1,10.288871765136719,6.4774699211120605,-13.405473709106445
16749,56,-329.1643037596451,146,0.1,55.2275390625,4.248546600341797,-6.8213605880737305
16990,57,-202.6650673866353,241,0.1,61.18324279785156,10.078282356262207,-11.59409236907959
17119,58,-152.0492564745083,129,0.1,46.55216979980469,6.97075080871582,-9.986268043518066
17262,59,-93.49864663568864,143,0.1,10.947508811950684,9.046732902526855,-10.430383682250977
17383,60,-208.50802635829731,121,0.1,21.24860191345215,9.385537147521973,-11.844005584716797
17753,61,-118.2811834742002,370,0.1,192.07958984375,10.873252868652344,-14.39077091217041
18045,62,-162.17097081108236,292,0.1,28.854310989379883,5.1248250007629395,-10.117674827575684
18168,63,-174.271616026203,123,0.1,11.678316116333008,8.993436813354492,-10.073330879211426
18294,64,-172.81458568027955,126,0.1,22.255455017089844,7.616331100463867,-8.9511137008667
18548,65,-200.9355661624793,254,0.1,47.36054992675781,8.464895248413086,-9.671645164489746
18722,66,-127.0830736205495,174,0.1,24.091575622558594,9.465270042419434,-10.83993148803711
18875,67,-245.01625263524696,153,0.1,10.511931419372559,12.059091567993164,-9.083881378173828
19055,68,-140.52391428095922,180,0.1,12.772947311401367,10.932788848876953,-13.391505241394043
19204,69,-158.73826146213895,149,0.1,13.11631965637207,6.343570709228516,-7.572370529174805
19354,70,-144.59972852481604,150,0.1,183.40342712402344,11.87887954711914,-13.913681030273438
19503,71,-8.7247050319681,149,0.1,23.01011848449707,12.062368392944336,-13.06336784362793
19677,72,-27.017839816958897,174,0.1,13.598465919494629,7.971825122833252,-9.007709503173828
20010,73,-126.6320705973061,333,0.1,22.11311149597168,10.205673217773438,-12.009833335876465
20409,74,-128.53202508604767,399,0.1,9.50739860534668,6.569833278656006,-12.172331809997559
20618,75,-83.56116785082439,209,0.1,7.527478218078613,6.153195858001709,-7.628410339355469
20720,76,-54.1890106855396,102,0.1,14.292106628417969,11.896140098571777,-13.330829620361328
20884,77,-75.43520576554418,164,0.1,173.997314453125,9.628190994262695,-11.309009552001953
21023,78,-15.692057179911913,139,0.1,9.330324172973633,8.164984703063965,-13.618173599243164
21284,79,-113.69739540200176,261,0.1,185.11773681640625,8.606986999511719,-10.202322959899902
21411,80,-37.22971367057957,127,0.1,7.442505836486816,10.399432182312012,-10.088912963867188
21650,81,-120.99975454861531,239,0.1,7.959402084350586,6.435073375701904,-8.011627197265625
22130,82,-126.31577487961871,480,0.1,10.89759635925293,8.54122257232666,-10.034887313842773
22337,83,-203.17016563139458,207,0.1,28.62603759765625,10.054854393005371,-13.146373748779297
22534,84,-85.38660000263728,197,0.1,7.863798141479492,15.314983367919922,-17.137537002563477
22900,85,-255.18521057720432,366,0.1,10.396760940551758,10.970727920532227,-12.80923843383789
23087,86,36.59027604702126,187,0.1,15.431722640991211,9.82199764251709,-12.194826126098633
23303,87,-25.290258885732896,216,0.1,9.598601341247559,6.020355224609375,-10.05380630493164
23571,88,237.417961022753,268,0.1,8.649101257324219,9.16144847869873,-8.281580924987793
23863,89,-163.6552246946187,292,0.1,16.71146583557129,8.203797340393066,-14.118743896484375
24064,90,-101.18955125979946,201,0.1,19.250688552856445,11.399229049682617,-12.91942024230957
24462,91,-74.57160579986375,398,0.1,16.063167572021484,12.984258651733398,-14.452439308166504
24654,92,-75.96432936155892,192,0.1,20.345592498779297,8.860655784606934,-10.57204532623291
25096,93,-262.6917917072945,442,0.1,5.978535175323486,9.104528427124023,-10.71003246307373
25365,94,229.60473190298876,269,0.1,19.273212432861328,15.454834938049316,-12.117578506469727
25654,95,-49.18434381807671,289,0.1,6.600471496582031,14.333745002746582,-16.133529663085938
26058,96,165.66650807817803,404,0.1,6.333335876464844,10.735208511352539,-12.48208236694336
26273,97,-3.3186981084264033,215,0.1,22.765270233154297,8.558914184570312,-18.41128158569336
26789,98,-228.9638535330981,516,0.1,24.49167251586914,16.51161766052246,-12.308918952941895
27217,99,165.1771748311898,428,0.1,21.585437774658203,13.19167423248291,-12.74998664855957
27562,100,188.0130682340514,345,0.1,9.838293075561523,14.49538803100586,-16.569622039794922
28014,101,-85.3151773874672,452,0.1,14.118432998657227,11.858652114868164,-13.728498458862305
28265,102,241.31567800707285,251,0.1,11.281797409057617,10.6043701171875,-15.455622673034668
28675,103,-64.22999416516977,410,0.1,23.898963928222656,11.580118179321289,-17.391380310058594
28899,104,-3.4115385613465605,224,0.1,8.148213386535645,11.401036262512207,-14.798927307128906
29353,105,-31.982155543273848,454,0.1,17.181936264038086,9.649571418762207,-14.098929405212402
29528,106,-48.58147410150076,175,0.1,25.29505157470703,10.59631061553955,-12.757104873657227
30086,107,-307.6638159623083,558,0.1,9.055356979370117,16.0950927734375,-18.363182067871094
30235,108,58.27112793611445,149,0.1,6.508800506591797,14.760186195373535,-11.88846206665039
30530,109,-102.90592642794529,295,0.1,11.934189796447754,11.327810287475586,-13.143662452697754
30965,110,228.05235090978556,435,0.1,12.001328468322754,14.53115463256836,-14.357267379760742
31122,111,36.902757344626764,157,0.1,120.58616638183594,11.716910362243652,-13.659173011779785
31269,112,38.436253444222785,147,0.1,27.96968650817871,14.519805908203125,-17.542314529418945
31722,113,30.737436363499796,453,0.1,16.946990966796875,12.825475692749023,-15.141353607177734
31915,114,29.659205599790255,193,0.1,9.367084503173828,12.875722885131836,-13.120307922363281
32215,115,15.077005031355682,300,0.1,11.643749237060547,12.745259284973145,-14.363116264343262
32692,116,228.06251689681136,477,0.1,21.055498123168945,18.689407348632812,-20.39946937561035
33488,117,238.54198129913698,796,0.1,12.057868003845215,12.834495544433594,-14.418931007385254
33693,118,-28.916393573551517,205,0.1,12.351631164550781,15.390619277954102,-19.707204818725586
34270,119,-93.27258372990394,577,0.1,108.293701171875,12.653120040893555,-15.225411415100098
34570,120,222.86449490251846,300,0.1,24.41387176513672,13.035846710205078,-15.052136421203613
34825,121,-32.89526964914488,255,0.1,172.7525634765625,12.257781982421875,-14.653488159179688
35329,122,208.09495138589813,504,0.1,18.948123931884766,12.69304084777832,-12.565958023071289
35765,123,204.81958580309754,436,0.1,136.52081298828125,11.278803825378418,-13.652734756469727
36303,124,-152.25455952773,538,0.1,8.00509262084961,13.954085350036621,-20.001920700073242
36869,125,208.7421228654965,566,0.1,9.69881820678711,11.907752990722656,-14.510870933532715
37139,126,-27.639915760616176,270,0.1,10.876418113708496,13.086296081542969,-17.14630126953125
37486,127,5.57854256594149,347,0.1,150.702880859375,13.181746482849121,-14.982398986816406
38209,128,207.53457725022486,723,0.1,30.591411590576172,13.547046661376953,-11.446992874145508
38699,129,236.18456667175045,490,0.1,15.004008293151855,4.979397773742676,-12.165767669677734
39225,130,243.58096149129915,526,0.1,148.15615844726562,11.424699783325195,-10.242456436157227
40170,131,145.71683845239187,945,0.1,17.482547760009766,13.2559814453125,-15.11929988861084
40695,132,237.4751977893646,525,0.1,13.094518661499023,13.480381965637207,-15.82898235321045
41280,133,259.37736712539805,585,0.1,25.436321258544922,13.972371101379395,-15.874292373657227
41772,134,180.95776934608142,492,0.1,20.496849060058594,14.606653213500977,-16.85980796813965
42138,135,255.14323244122696,366,0.1,6.642852306365967,10.620616912841797,-12.634481430053711
42725,136,269.04413941398343,587,0.1,8.254291534423828,12.399650573730469,-12.140039443969727
43341,137,-223.99606502175502,616,0.1,26.03004264831543,9.50189208984375,-15.161905288696289
43920,138,174.2299123109401,579,0.1,10.441795349121094,12.214370727539062,-13.814982414245605
44579,139,186.3647038254747,659,0.1,18.049713134765625,9.827999114990234,-8.587686538696289
45250,140,183.155694911173,671,0.1,11.303543090820312,14.150450706481934,-15.90818977355957
45627,141,-5.013092056403025,377,0.1,10.933058738708496,12.306262016296387,-13.41347599029541
46056,142,13.18802692653982,429,0.1,12.02341079711914,9.098308563232422,-10.990803718566895
46447,143,-41.862052738286096,391,0.1,20.01629638671875,17.91182518005371,-11.392457962036133
47012,144,173.1746029398493,565,0.1,33.96824264526367,8.23232364654541,-10.12263298034668
47610,145,226.7552764947511,598,0.1,140.7586212158203,11.383903503417969,-13.364731788635254
48174,146,211.17975859057452,564,0.1,8.954608917236328,10.288366317749023,-11.860451698303223
