global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
24,4,24,-0.010807929560542107,-0.015299364924430847,-0.004321257118135691,0.0044914353638887405,0.0004924657405354083,-2.9400579929351807,-0.010614442639052868,True,1.0978108644485474,1.0978108644485474,0.0,0.0,0.0,0.0,0.0,-0.06598185747861862,-3.973643103449831e-08,0.008467752486467361,online_value_model,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,mlp,,mlp,,,,,
48,4,24,-0.014584988355636597,-0.01475934311747551,-0.0037846185732632875,0.00017435516929253936,0.002420642878860235,-71.45951080322266,-0.04968943074345589,True,1.0974725484848022,1.0974725484848022,0.0,0.0,0.0,0.0,0.0,0.009928648360073566,-7.078051567077637e-08,-0.0011539977276697755,online_value_model,0,0,0,0,0,20,0,0,0,0,0,0.0,0,4,mlp,,mlp,,,,,
82,4,34,0.19587817788124084,-0.011075292713940144,-0.00010504091187613085,0.20695346593856812,0.18424275517463684,-0.0025566816329956055,-0.007046903949230909,True,1.0970251560211182,1.0970251560211182,0.0,0.0,0.0,0.0,0.029411764815449715,0.2826549708843231,-1.928385628957585e-08,0.23326769471168518,online_value_model,0,0,0,0,0,34,0,0,0,0,0,0.25,1,4,mlp,,mlp,,,,,
106,4,24,-0.02832360938191414,-0.028452709317207336,-0.01748940348625183,0.00012909938232041895,0.0006617272738367319,-84.69204711914062,0.023422354832291603,True,1.0963305234909058,1.0963305234909058,0.0,0.0,0.0,0.0,0.0,0.007464161608368158,7.947286206899662e-08,-0.0008933840435929596,online_value_model,0,0,0,0,0,21,0,0,0,0,0,0.0,0,4,mlp,,mlp,,,,,
150,4,44,0.27141034603118896,-0.010407200083136559,0.0005488382303155959,0.28181755542755127,0.25209948420524597,-0.003811478614807129,0.06606858223676682,True,1.0956039428710938,1.0956039428710938,0.0,0.0,0.0,0.0,0.04545454680919647,0.3571690320968628,2.709302115988521e-09,0.3802616000175476,online_value_model,0,0,0,0,0,22,0,0,0,0,0,0.5,2,4,mlp,,mlp,,,,,
184,4,34,0.16392634809017181,-0.0065878573805093765,0.004360212944447994,0.17051421105861664,0.15581448376178741,0.0005974769592285156,0.10992880165576935,True,1.0948070287704468,1.0948070287704468,0.0,0.0,0.0,0.0,0.029411764815449715,0.18761992454528809,-2.6296167021655492e-08,0.25551465153694153,online_value_model,0,0,0,0,0,11,0,0,0,0,0,0.25,1,4,mlp,,mlp,,,,,
208,4,24,0.012250300496816635,0.002639361657202244,0.013581310398876667,0.009610938839614391,0.01504968199878931,-0.49561595916748047,0.13493548333644867,True,1.0941948890686035,1.0941948890686035,0.0,0.0,0.0,0.0,0.0,-0.09745987504720688,-2.856055800748436e-07,0.012682035565376282,online_value_model,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,mlp,,mlp,,,,,
242,4,34,0.16048918664455414,0.0037033213302493095,0.014642154797911644,0.15678586065769196,0.14933918416500092,0.01513439416885376,0.16217197477817535,True,1.0938833951950073,1.0938833951950073,0.0,0.0,0.0,0.0,0.029411764815449715,0.13380226492881775,-2.2790011655615672e-08,0.26825201511383057,online_value_model,0,0,0,0,0,11,0,0,0,0,0,0.25,1,4,mlp,,mlp,,,,,
266,4,24,-0.004927564412355423,-0.02582709863781929,-0.014890437014400959,0.020899534225463867,0.02460535429418087,0.13391178846359253,0.17491595447063446,True,1.0936660766601562,1.0936660766601562,0.0,0.0,0.0,0.0,0.0,-0.14408107101917267,-4.5696893380409165e-07,0.018470993265509605,online_value_model,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,mlp,,mlp,,,,,
330,4,64,0.4249047040939331,-0.00566053856164217,0.005275268107652664,0.4305652379989624,0.4075046479701996,0.017024099826812744,0.19897571206092834,True,1.093580722808838,1.093580722808838,0.0,0.0,0.0,0.0,0.0625,0.4572156071662903,5.4016709327697754e-08,0.6310774087905884,online_value_model,0,0,0,0,0,43,0,0,0,0,0,1.0,3,4,mlp,,mlp,,,,,
