global_step,episode,episode_return,episode_length,update,learning_rate,policy_loss,value_loss,entropy,approx_kl
200,1,-1096.8269722105981,200,0,0.0003,,,,
400,2,-832.3177038654745,200,0,0.0003,,,,
600,3,-1073.5128958400371,200,0,0.0003,,,,
800,4,-1503.4804886995382,200,0,0.0003,,,,
1000,5,-1690.1100014643762,200,0,0.0003,,,,
1200,6,-1207.0317924571007,200,0,0.0003,,,,
1400,7,-745.9692401992722,200,0,0.0003,,,,
1600,8,-979.7963965982082,200,0,0.0003,,,,
1800,9,-852.8870559516547,200,0,0.0003,,,,
2000,10,-1447.2287433798983,200,0,0.0003,,,,
2200,11,-1632.7336682011503,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
2400,12,-1358.4337536683001,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
2600,13,-1065.7047152637997,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
2800,14,-1386.2141748143126,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
3000,15,-1302.2875900098945,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
3200,16,-1064.62176783578,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
3400,17,-946.4683459767015,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
3600,18,-1315.6500829032832,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
3800,19,-867.7448519466874,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
4000,20,-903.6513941555011,200,1,0.000295904,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143
4200,21,-1067.5321131969924,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
4400,22,-1279.8717576421686,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
4600,23,-854.3629290292985,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
4800,24,-979.9412499795347,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
5000,25,-966.4803857983583,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
5200,26,-1290.7785684822277,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
5400,27,-751.6981663243065,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
5600,28,-1265.4297575921826,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
5800,29,-1404.3299649149465,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
6000,30,-1726.320762121399,200,2,0.00029180799999999995,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498
6200,31,-1172.1776659721418,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
6400,32,-1627.0608314923188,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
6600,33,-1326.4318428153492,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
6800,34,-1002.6048873422477,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
7000,35,-1857.9616389996022,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
7200,36,-1170.9761246441328,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
7400,37,-1248.583868992376,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
7600,38,-978.0793022796778,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
7800,39,-1012.666446089519,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
8000,40,-752.4474608151492,200,3,0.00028771199999999997,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708
8200,41,-1308.1879018023462,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
8400,42,-1685.2031803952998,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
8600,43,-1396.7641316673444,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
8800,44,-1082.554760841206,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
9000,45,-1476.1495292072077,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
9200,46,-857.8415378876279,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
9400,47,-1522.7460595185696,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
9600,48,-1155.4772239461313,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
9800,49,-971.9908405215217,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
10000,50,-968.1230190795449,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
10200,51,-1287.2951883046974,200,4,0.000283616,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782
10400,52,-1651.1770413197214,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
10600,53,-867.8371128922877,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
10800,54,-1729.3278039637707,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
11000,55,-1212.255354257708,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
11200,56,-1264.893430042015,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
11400,57,-1070.4358073899189,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
11600,58,-957.8903811419171,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
11800,59,-998.462996342239,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
12000,60,-937.1658092586393,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
12200,61,-890.4646857815055,200,5,0.00027951999999999995,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195
12400,62,-902.2478868616098,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
12600,63,-972.665139234501,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
12800,64,-767.1808800681697,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
13000,65,-1608.1842607490019,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
13200,66,-1532.3469534892524,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
13400,67,-1615.079653993241,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
13600,68,-858.6796094978528,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
13800,69,-869.1920860207455,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
14000,70,-964.0350164824442,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
14200,71,-1078.0461931078964,200,6,0.00027542399999999997,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563
14400,72,-970.5204698477576,200,7,0.000271328,-0.002612166122708004,4309.562451934815,1.369399829953909,0.002553402303601615
14600,73,-1319.036501253609,200,7,0.000271328,-0.002612166122708004,4309.562451934815,1.369399829953909,0.002553402303601615
14800,74,-827.8085147098408,200,7,0.000271328,-0.002612166122708004,4309.562451934815,1.369399829953909,0.002553402303601615
15000,75,-1351.7492691083933,200,7,0.000271328,-0.002612166122708004,4309.562451934815,1.369399829953909,0.002553402303601615
15200,76,-1308.122359035683,200,7,0.000271328,-0.002612166122708004,4309.562451934815,1.369399829953909,0.002553402303601615
15400,77,-1205.9938620502078,200,7,0.000271328,-0.002612166122708004,4309.562451934815,1.369399829953909,0.002553402303601615
