global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
69,critic,capacity_insert,3,2,64,,-0.0009999998146668077,3.125003422610462e-05,0.0010000000474974513
69,actor,scheduled_batch_boundary,3,0,54,"[22, 32]",-0.0009999980684369802,-1.2072699784315688e-10,0.0009999992325901985
106,actor,capacity_insert,12,0,62,"[32, 30]",-0.0019999307114630938,0.00016129242430906743,0.0019999979995191097
106,critic,capacity_insert,28,9,64,,0.0,0.00046874984400346875,0.001999999862164259
128,actor,capacity_insert,18,0,64,"[43, 21]",-0.0009999885223805904,0.0007808003574609756,0.0029999944381415844
128,critic,capacity_insert,16,6,64,,0.0,0.000874999794177711,0.0029999997932463884
128,actor,scheduled_batch_boundary,4,0,60,"[41, 19]",-4.593557978438412e-09,0.0008661860483698547,0.0029999944381415844
