global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
1010,actor,scheduled_batch_boundary,33,0,609,"[303, 306]",-0.002077198587357998,-7.711341822869144e-06,0.0027633975259959698
1010,critic,scheduled_batch_boundary,51,0,959,,-0.0015018089907243848,0.00011367638944648206,0.00318252039141953
2000,actor,scheduled_batch_boundary,50,0,937,"[466, 471]",-0.002850790973752737,0.0002518128603696823,0.006529204547405243
2000,critic,scheduled_batch_boundary,98,0,1851,,-0.0026258439756929874,0.00031083147041499615,0.00587532389909029
2156,critic,capacity_insert,100,0,1907,,-0.0019700154662132263,0.0004458669282030314,0.006753907073289156
2253,critic,capacity_insert,100,0,1904,,-0.001546566723845899,0.0005517021636478603,0.006443910766392946
2430,critic,capacity_insert,100,0,1981,,-0.0012986882356926799,0.0006246540579013526,0.006875383667647839
2508,critic,capacity_insert,100,0,1959,,-0.0009720163652673364,0.0006934051052667201,0.006875383667647839
2594,critic,capacity_insert,100,0,1945,,-0.0008350277203135192,0.0007443391368724406,0.007164914160966873
2697,critic,capacity_insert,100,0,1948,,-0.000645587220788002,0.000792725186329335,0.007164914160966873
2782,critic,capacity_insert,93,0,1940,,-0.0004999999073334038,0.0008349937852472067,0.007249978370964527
2867,critic,capacity_insert,99,0,1926,,-0.0004999996745027602,0.0008700077305547893,0.007249978370964527
3021,critic,capacity_insert,100,0,1980,,-0.0004999974626116455,0.0008969129412434995,0.008085006847977638
3021,actor,scheduled_batch_boundary,69,0,1311,"[673, 638]",-0.003180717583745718,0.00047816496226005256,0.009514812380075455
3021,critic,scheduled_batch_boundary,99,0,1881,,-0.0003720111562870443,0.0009653693996369839,0.008085006847977638
3144,critic,capacity_insert,100,0,1904,,-0.0003987972449976951,0.0010045032249763608,0.00891015026718378
3263,critic,capacity_insert,100,0,1923,,-0.00037206895649433136,0.00102700584102422,0.00891015026718378
3348,critic,capacity_insert,100,0,1908,,-0.0003341588017065078,0.001063307747244835,0.008776919916272163
3505,critic,capacity_insert,100,0,1965,,-0.00037206828710623085,0.0010828806553035975,0.008776919916272163
3593,critic,capacity_insert,100,0,1953,,-0.000372065493138507,0.0011138332774862647,0.008776919916272163
3684,critic,capacity_insert,100,0,1944,,-0.0002122378209605813,0.0011502770939841866,0.009276898577809334
3755,critic,capacity_insert,100,0,1915,,-9.629818669054657e-05,0.0011980340350419283,0.00977689865976572
3908,critic,capacity_insert,100,0,1968,,-0.0001279644202440977,0.0011947727762162685,0.009276899509131908
4003,critic,capacity_insert,100,0,1963,,-6.61255035083741e-05,0.0012241335352882743,0.009276899509131908
4003,actor,scheduled_batch_boundary,90,0,1698,"[880, 818]",-0.0032371566630899906,0.0007199941901490092,0.010469269938766956
4003,critic,scheduled_batch_boundary,48,0,1915,,0.0,0.0012550971005111933,0.009276899509131908
4181,critic,capacity_insert,100,0,1993,,-0.00012793196947313845,0.0012214741436764598,0.009276899509131908
4246,critic,capacity_insert,84,0,1974,,0.0,0.001245698076672852,0.00949994008988142
4339,critic,capacity_insert,88,0,1979,,0.0,0.0012693388853222132,0.009276890195906162
4490,actor,capacity_insert,100,0,1908,"[984, 924]",-0.002510440768674016,0.0008717633900232613,0.011088680475950241
4490,critic,capacity_insert,117,13,2000,,0.0,0.0012830968480557203,0.009499939158558846
4616,critic,capacity_insert,98,28,2000,,0.0,0.0012986352667212486,0.009999938309192657
4727,actor,capacity_insert,100,0,1952,"[992, 960]",-0.0019230378093197942,0.0009852699004113674,0.011408177204430103
4727,critic,capacity_insert,64,47,2000,,0.0,0.0013097625924274325,0.009999938309192657
4794,critic,capacity_insert,68,0,1999,,0.0,0.0013252974022179842,0.010499938391149044
4906,actor,capacity_insert,100,0,1947,"[986, 961]",-0.0013989908620715141,0.0011006552958860993,0.01224288996309042
4906,critic,capacity_insert,122,0,1989,,0.0,0.0013580322265625,0.009999941103160381
4996,critic,capacity_insert,64,15,2000,,0.0,0.0013608766021206975,0.009999941103160381
5070,actor,capacity_insert,100,0,1917,"[972, 945]",-0.0011295207077637315,0.0012187734246253967,0.013219929300248623
5070,critic,capacity_insert,66,8,2000,,0.0,0.0013748886995017529,0.009546268731355667
5070,actor,scheduled_batch_boundary,96,0,1821,"[922, 899]",-0.000830955570563674,0.0013336442643776536,0.013219929300248623
5134,critic,capacity_insert,51,13,2000,,0.0,0.001392335630953312,0.009546268731355667
5224,critic,capacity_insert,50,40,2000,,0.0,0.0014061197871342301,0.00963036622852087
5350,critic,capacity_insert,106,20,2000,,0.0,0.0014240192249417305,0.009999940171837807
5431,critic,capacity_insert,80,1,2000,,0.0,0.00143850885797292,0.010046267881989479
5547,actor,capacity_insert,100,0,1958,"[1001, 957]",-0.0010272276122123003,0.0013954004971310496,0.013246871531009674
5547,critic,capacity_insert,110,6,2000,,0.0,0.0014652706449851394,0.010046267881989479
5633,critic,capacity_insert,68,18,2000,,0.0,0.001477951998822391,0.01054625865072012
5731,actor,capacity_insert,100,0,1956,"[1003, 953]",-0.0007932977750897408,0.0014902043621987104,0.013009249232709408
5731,critic,capacity_insert,90,8,2000,,0.0,0.00149222940672189,0.01054625865072012
5834,actor,capacity_insert,100,0,1915,"[991, 924]",-0.0005276732263155282,0.0015585629735141993,0.013317983597517014
5834,critic,capacity_insert,81,22,2000,,0.0,0.0014991100179031491,0.01054625865072012
5940,critic,capacity_insert,82,24,2000,,0.0,0.0015218995977193117,0.011046243831515312
6018,critic,capacity_insert,58,20,2000,,0.0,0.0015479819849133492,0.011046243831515312
6018,actor,scheduled_batch_boundary,100,0,1892,"[973, 919]",-0.0004308701027184725,0.0016252828063443303,0.01283225603401661
6153,critic,capacity_insert,101,34,2000,,0.0,0.0015577157028019428,0.011046243831515312
6244,actor,capacity_insert,100,0,1923,"[1008, 915]",-0.0003821269783657044,0.0016682589193806052,0.012714192271232605
6244,critic,capacity_insert,75,16,2000,,0.0,0.0015815498773008585,0.0115462401881814
6341,critic,capacity_insert,80,17,2000,,0.0,0.0016075189923867583,0.012046235613524914
6427,actor,capacity_insert,100,0,1909,"[1002, 907]",-0.0003720368258655071,0.0017389704007655382,0.013613495975732803
6427,critic,capacity_insert,62,24,2000,,0.0,0.0016172830946743488,0.011546238325536251
6517,critic,capacity_insert,69,21,2000,,0.0,0.00163452816195786,0.01199989952147007
6615,critic,capacity_insert,88,10,2000,,0.0,0.0016432498814538121,0.01199989952147007
6702,actor,capacity_insert,100,0,1935,"[1025, 910]",-0.000659241690300405,0.0017880975501611829,0.013428508304059505
6702,critic,capacity_insert,60,27,2000,,0.0,0.0016679303953424096,0.012499896809458733
6791,critic,capacity_insert,64,24,2000,,0.0,0.0016850527608767152,0.012499896809458733
6870,actor,capacity_insert,100,0,1904,"[1018, 886]",-0.00036728967097587883,0.0018476465484127402,0.013855157420039177
6870,critic,capacity_insert,79,0,2000,,0.0,0.00169679697137326,0.012499896809458733
6956,critic,capacity_insert,62,24,2000,,0.0,0.0017156279645860195,0.012999895960092545
7067,critic,capacity_insert,73,38,2000,,0.0,0.0017367831896990538,0.013499896042048931
7067,actor,scheduled_batch_boundary,100,0,1897,"[1011, 886]",-0.0002523944422136992,0.0019213674822822213,0.013728789053857327
7182,critic,capacity_insert,84,31,2000,,0.0,0.0017442972166463733,0.012999897822737694
7335,actor,capacity_insert,100,0,1968,"[1061, 907]",-0.00028913957066833973,0.0019071229035034776,0.014185273088514805
7335,critic,capacity_insert,81,72,2000,,0.0,0.001762650441378355,0.012499897740781307
7499,actor,capacity_insert,100,0,1977,"[1060, 917]",-0.0001424418151145801,0.0019423566991463304,0.01412227563560009
7499,critic,capacity_insert,94,70,2000,,0.0,0.0017742991913110018,0.01199989765882492
7637,actor,capacity_insert,100,0,1958,"[1046, 912]",-1.617182988411514e-06,0.0019708932377398014,0.01431999634951353
7637,critic,capacity_insert,80,58,2000,,0.0,0.0017897672951221466,0.01199989765882492
7728,critic,capacity_insert,49,42,2000,,0.0,0.0018027654150500894,0.01199989765882492
7831,actor,capacity_insert,74,0,1969,"[1046, 923]",0.0,0.0019948994740843773,0.014193139970302582
7831,critic,capacity_insert,74,29,2000,,0.0,0.0018257476622238755,0.01199989765882492
