global_step,episode,episode_return,episode_length,loss,actor_type,case_entries,cases_pruned,cases_replaced,actor_cases_pruned,actor_cases_replaced,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,exploration_epsilon,behavior_epsilon,policy_ready,action_probs,behavior_action_probs,action_counts,bias_min,bias_mean,bias_max
17,1,17.0,17,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5101227164268494, 0.4898773431777954]","[0.5101227164268494, 0.4898773431777954]",,,,
54,2,37.0,37,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.4905509948730469, 0.5094489455223083]","[0.4905509948730469, 0.5094489455223083]",,,,
67,3,13.0,13,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.4895201027393341, 0.5104799866676331]","[0.4895201027393341, 0.5104799866676331]",,,,
95,4,28.0,28,91.21660614013672,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.49410516023635864, 0.5058948397636414]","[0.49410516023635864, 0.5058948397636414]",,,,
112,5,17.0,17,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5288131237030029, 0.47118687629699707]","[0.5288131237030029, 0.47118687629699707]",,,,
139,6,27.0,27,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5043017864227295, 0.4956982135772705]","[0.5043017864227295, 0.4956982135772705]",,,,
156,7,17.0,17,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5237873792648315, 0.47621262073516846]","[0.5237873792648315, 0.47621262073516846]",,,,
170,8,14.0,14,13.537870407104492,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5263791084289551, 0.4736208915710449]","[0.5263791084289551, 0.4736208915710449]",,,,
195,9,25.0,25,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.541067361831665, 0.4589325785636902]","[0.541067361831665, 0.4589325785636902]",,,,
236,10,41.0,41,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5079599618911743, 0.49204006791114807]","[0.5079599618911743, 0.49204006791114807]",,,,
272,11,36.0,36,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5371645092964172, 0.46283549070358276]","[0.5371645092964172, 0.46283549070358276]",,,,
307,12,35.0,35,40.1051139831543,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5257308483123779, 0.4742690920829773]","[0.5257308483123779, 0.4742690920829773]",,,,
317,13,10.0,10,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5294435620307922, 0.4705564081668854]","[0.5294435620307922, 0.4705564081668854]",,,,
342,14,25.0,25,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5204110741615295, 0.47958892583847046]","[0.5204110741615295, 0.47958892583847046]",,,,
356,15,14.0,14,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5545003414154053, 0.44549962878227234]","[0.5545003414154053, 0.44549962878227234]",,,,
377,16,21.0,21,15.054570198059082,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5316325426101685, 0.46836739778518677]","[0.5316325426101685, 0.46836739778518677]",,,,
397,17,20.0,20,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5265184640884399, 0.47348156571388245]","[0.5265184640884399, 0.47348156571388245]",,,,
